# time     return_probability   rate_function_ED
0.00  1.00000000  0.00000000 
0.02  0.99846702  0.00030683 
0.04  0.99388302  0.00122715 
0.06  0.98629259  0.00276044 
0.08  0.97576927  0.00490583 
0.10  0.96241431  0.00766205 
0.12  0.94635509  0.01102748 
0.14  0.92774308  0.01500009 
0.16  0.90675146  0.01957738 
0.18  0.88357241  0.02475641 
0.20  0.85841420  0.03053371 
0.22  0.83149801  0.03690527 
0.24  0.80305475  0.04386648 
0.26  0.77332168  0.05141203 
0.28  0.74253914  0.05953594 
0.30  0.71094732  0.06823139 
0.32  0.67878316  0.07749071 
0.34  0.64627739  0.08730529 
0.36  0.61365193  0.09766548 
0.38  0.58111739  0.10856050 
0.40  0.54887106  0.11997835 
0.42  0.51709511  0.13190569 
0.44  0.48595520  0.14432777 
0.46  0.45559950  0.15722823 
0.48  0.42615803  0.17058901 
0.50  0.39774241  0.18439014 
0.52  0.37044606  0.19860949 
0.54  0.34434473  0.21322240 
0.56  0.31949744  0.22820120 
0.58  0.29594790  0.24351437 
0.60  0.27372627  0.25912534 
0.62  0.25285148  0.27499060 
0.64  0.23333405  0.29105683 
0.66  0.21517941  0.30725663 
0.68  0.19839192  0.32350216 
0.70  0.18297955  0.33967617 
0.72  0.16895914  0.35561968 
0.74  0.15636206  0.37111621 
0.76  0.14523985  0.38587375 
0.78  0.13566850  0.39950817 
0.80  0.12774985  0.41153625 
0.82  0.12160744  0.42139143 
0.84  0.11737474  0.42847670 
0.86  0.11517548  0.43225969 
0.88  0.11510002  0.43239076 
0.90  0.11718615  0.42879832 
0.92  0.12141243  0.42171241 
0.94  0.12770701  0.41160332 
0.96  0.13596694  0.39906871 
0.98  0.14607925  0.38472119 
1.00  0.15793714  0.36911164 
1.02  0.17144854  0.35269442 
1.04  0.18653826  0.33582378 
1.06  0.20314571  0.31876636 
1.08  0.22122039  0.30171916 
1.10  0.24071674  0.28482688 
1.12  0.26158891  0.26819621 
1.14  0.28378629  0.25190676 
1.16  0.30724963  0.23601894 
1.18  0.33190800  0.22057949 
1.20  0.35767651  0.20562526 
1.22  0.38445478  0.19118582 
1.24  0.41212612  0.17728517 
1.26  0.44055728  0.16394296 
1.28  0.46959887  0.15117528 
1.30  0.49908625  0.13899527 
1.32  0.52884096  0.12741351 
1.34  0.55867257  0.11643834 
1.36  0.58838083  0.10607618 
1.38  0.61775821  0.09633163 
1.40  0.64659264  0.08720776 
1.42  0.67467043  0.07870619 
1.44  0.70177926  0.07082727 
1.46  0.72771127  0.06357018 
1.48  0.75226605  0.05693305 
1.50  0.77525355  0.05091303 
1.52  0.79649683  0.04550643 
1.54  0.81583461  0.04070873 
1.56  0.83312349  0.03651468 
1.58  0.84823992  0.03291835 
1.60  0.86108175  0.02991317 
1.62  0.87156942  0.02749195 
1.64  0.87964683  0.02564696 
1.66  0.88528165  0.02436989 
1.68  0.88846539  0.02365192 
1.70  0.88921292  0.02348371 
1.72  0.88756177  0.02385543 
1.74  0.88357096  0.02475673 
1.76  0.87731958  0.02617679 
1.78  0.86890509  0.02810428 
1.80  0.85844142  0.03052737 
1.82  0.84605684  0.03343375 
1.84  0.83189175  0.03681059 
1.86  0.81609639  0.04064456 
1.88  0.79882850  0.04492180 
1.90  0.78025102  0.04962792 
1.92  0.76052982  0.05474799 
1.94  0.73983155  0.06026655 
1.96  0.71832157  0.06616759 
1.98  0.69616202  0.07243457 
2.00  0.67351006  0.07905047 
2.02  0.65051622  0.08599781 
2.04  0.62732292  0.09325877 
2.06  0.60406318  0.10081530 
2.08  0.58085938  0.10864932 
2.10  0.55782228  0.11674297 
2.12  0.53505015  0.12507896 
2.14  0.51262802  0.13364096 
2.16  0.49062726  0.14241412 
2.18  0.46910527  0.15138562 
2.20  0.44810551  0.16054531 
2.22  0.42765791  0.16988634 
2.24  0.40777958  0.17940570 
2.26  0.38847609  0.18910473 
2.28  0.36974314  0.19898934 
2.30  0.35156892  0.20906990 
2.32  0.33393684  0.21936068 
2.34  0.31682901  0.22987861 
2.36  0.30023014  0.24064119 
2.38  0.28413198  0.25166329 
2.40  0.26853827  0.26295237 
2.42  0.25347015  0.27450184 
2.44  0.23897190  0.28628186 
2.46  0.22511699  0.29822701 
2.48  0.21201407  0.31022053 
2.50  0.19981223  0.32207545 
2.52  0.18870424  0.33351488 
2.54  0.17892556  0.34415708 
2.56  0.17074581  0.35351587 
2.58  0.16444906  0.36103089 
2.60  0.16030155  0.36613972 
2.62  0.15851009  0.36838740 
2.64  0.15918244  0.36754086 
2.66  0.16230442  0.36365631 
2.68  0.16774413  0.35706310 
2.70  0.17528080  0.34827320 
2.72  0.18464570  0.33786328 
2.74  0.19556044  0.32637715 
2.76  0.20776449  0.31427002 
2.78  0.22103016  0.30189122 
2.80  0.23516786  0.28949114 
2.82  0.25002497  0.27723890 
2.84  0.26548145  0.26524206 
2.86  0.28144400  0.25356436 
2.88  0.29783994  0.24223981 
2.90  0.31461131  0.23128347 
2.92  0.33170957  0.22069910 
2.94  0.34909094  0.21048456 
2.96  0.36671251  0.20063542 
2.98  0.38452911  0.19114716 
3.00  0.40249102  0.18201650 
3.02  0.42054233  0.17324203 
3.04  0.43862017  0.16482429 
3.06  0.45665445  0.15676566 
3.08  0.47456832  0.14906994 
3.10  0.49227900  0.14174193 
3.12  0.50969903  0.13478697 
3.14  0.52673779  0.12821048 
