Temperature      Z      <E>     <E^2>    Cv
============================================
0.100000   2440806588638335865002752521411454042112.000000    -9.000000    81.000000    0.000000
0.149495   279725194938878790922665984.000000    -9.000000    80.999999    0.000009
0.198990   87798582452502675456.000000    -8.999990    80.999844    0.000794
0.248485   10739777548780250.000000    -8.999783    80.996755    0.010748
0.297980   26208089714123.300781    -8.998297    80.974648    0.059712
0.347475   355486035613.776855    -8.992332    80.886483    0.202503
0.396970   14143520522.186504    -8.975566    80.640837    0.507947
0.446465   1158455641.947112    -8.938262    80.100284    1.042246
0.495960   158184229.881639    -8.867880    79.094005    1.848624
0.545455   31527290.244201    -8.750808    77.446273    2.922924
0.594949   8401359.767990    -8.575272    75.019406    4.192822
0.644444   2817369.892313    -8.334844    71.760859    5.516949
0.693939   1137888.907224    -8.031219    67.734724    6.716303
0.743434   535266.527717    -7.674753    63.118816    7.629861
0.792929   285520.714900    -7.282231    58.164605    8.165128
0.842424   168939.970979    -6.872868    53.137999    8.315988
0.891919   108859.205561    -6.464370    48.267099    8.144393
0.941414   75226.661518    -6.070420    43.713707    7.744566
0.990909   55047.828062    -5.699932    39.569649    7.210931
1.040404   42214.146335    -5.357545    35.868914    6.619878
1.089899   33640.616710    -5.044691    32.605325    6.024533
1.139394   27669.717479    -4.760706    29.748968    5.457204
1.188889   23361.708720    -4.503738    27.258574    4.934651
1.238384   20158.221058    -4.271377    25.089618    4.463341
1.287879   17713.569523    -4.061060    23.199013    4.043574
1.337374   15805.862576    -3.870303    21.547459    3.672332
1.386869   14288.048116    -3.696811    20.100344    3.345076
1.436364   13059.872092    -3.538531    18.827823    3.056807
1.485859   12051.240341    -3.393655    17.704493    2.802638
1.535354   11212.028987    -3.260610    16.708887    2.578069
1.584848   10505.663398    -3.138030    15.822932    2.379102
1.634343   9904.966062    -3.024738    15.031429    2.202252
1.683838   9389.407961    -2.919715    14.321585    2.044520
1.733333   8943.249793    -2.822078    13.682616    1.903343
1.782828   8554.260230    -2.731066    13.105408    1.776539
1.832323   8212.816180    -2.646013    12.582228    1.662248
1.881818   7911.260782    -2.566340    12.106501    1.558889
1.931313   7643.438348    -2.491540    11.672608    1.465115
1.980808   7404.352779    -2.421169    11.275732    1.379771
2.030303   7189.913427    -2.354834    10.911728    1.301871
2.079798   6996.743751    -2.292188    10.577014    1.230566
2.129293   6822.035650    -2.232924    10.268485    1.165122
2.178788   6663.437434    -2.176767    9.983436    1.104907
2.228283   6518.966820    -2.123472    9.719506    1.049369
2.277778   6386.942763    -2.072821    9.474627    0.998028
2.327273   6265.931599    -2.024615    9.246976    0.950465
2.376768   6154.704153    -1.978678    9.034949    0.906313
2.426263   6052.201323    -1.934849    8.837124    0.865246
2.475758   5957.506288    -1.892981    8.652239    0.826978
2.525253   5869.821904    -1.852944    8.479171    0.791257
2.574747   5788.452206    -1.814617    8.316917    0.757858
2.624242   5712.787193    -1.777889    8.164582    0.726579
2.673737   5642.290233    -1.742661    8.021358    0.697242
2.723232   5576.487588    -1.708840    7.886524    0.669686
2.772727   5514.959657    -1.676341    7.759425    0.643769
2.822222   5457.333618    -1.645088    7.639473    0.619359
2.871717   5403.277228    -1.615008    7.526134    0.596341
2.921212   5352.493560    -1.586035    7.418923    0.574609
2.970707   5304.716535    -1.558108    7.317400    0.554067
3.020202   5259.707101    -1.531170    7.221164    0.534629
3.069697   5217.249960    -1.505168    7.129849    0.516215
3.119192   5177.150751    -1.480054    7.043121    0.498754
3.168687   5139.233622    -1.455782    6.960674    0.482181
3.218182   5103.339122    -1.432309    6.882227    0.466434
3.267677   5069.322377    -1.409597    6.807523    0.451460
3.317172   5037.051497    -1.387608    6.736323    0.437207
3.366667   5006.406185    -1.366307    6.668410    0.423630
3.416162   4977.276515    -1.345662    6.603582    0.410686
3.465657   4949.561871    -1.325643    6.541653    0.398336
3.515152   4923.169994    -1.306222    6.482451    0.386543
3.564646   4898.016160    -1.287371    6.425815    0.375274
3.614141   4874.022436    -1.269065    6.371600    0.364498
3.663636   4851.117034    -1.251281    6.319666    0.354186
3.713131   4829.233729    -1.233997    6.269887    0.344311
3.762626   4808.311342    -1.217191    6.222144    0.334850
3.812121   4788.293280    -1.200844    6.176326    0.325778
3.861616   4769.127124    -1.184936    6.132330    0.317076
3.911111   4750.764261    -1.169451    6.090060    0.308721
3.960606   4733.159551    -1.154371    6.049425    0.300697
4.010101   4716.271034    -1.139680    6.010343    0.292985
4.059596   4700.059654    -1.125363    5.972734    0.285570
4.109091   4684.489027    -1.111407    5.936525    0.278437
4.158586   4669.525214    -1.097796    5.901646    0.271570
4.208081   4655.136530    -1.084520    5.868032    0.264957
4.257576   4641.293360    -1.071564    5.835623    0.258586
4.307071   4627.968000    -1.058918    5.804361    0.252444
4.356566   4615.134508    -1.046571    5.774192    0.246521
4.406061   4602.768568    -1.034512    5.745065    0.240806
4.455556   4590.847372    -1.022731    5.716934    0.235289
4.505051   4579.349503    -1.011218    5.689752    0.229962
4.554545   4568.254837    -0.999964    5.663477    0.224816
4.604040   4557.544446    -0.988960    5.638068    0.219842
4.653535   4547.200516    -0.978199    5.613489    0.215033
4.703030   4537.206268    -0.967672    5.589702    0.210381
4.752525   4527.545881    -0.957371    5.566675    0.205880
4.802020   4518.204435    -0.947289    5.544375    0.201524
4.851515   4509.167842    -0.937420    5.522770    0.197305
4.901010   4500.422792    -0.927756    5.501834    0.193219
4.950505   4491.956705    -0.918291    5.481537    0.189260
5.000000   4483.757680    -0.909019    5.461855    0.185422
