Temperature      Z      <E>     <E^2>    Cv
============================================
0.100000   17496918131306834188828672.000000    -5.304608    28.141310    0.244320
0.149495   420181195481016320.000000    -5.291409    28.006282    0.325240
0.198990   64087728370699.429688    -5.266884    27.769258    0.737075
0.248485   336417962555.434631    -5.210768    27.251246    1.605697
0.297980   10654108688.999666    -5.102118    26.281899    2.818796
0.347475   963937922.819638    -4.931480    24.808158    4.047269
0.396970   170486868.527059    -4.706878    22.935657    4.955800
0.446465   47385645.236938    -4.448714    20.867094    5.398273
0.495960   18046301.632483    -4.179354    18.802234    5.428314
0.545455   8600436.956236    -3.915817    16.877158    5.187999
0.594949   4821893.461696    -3.668012    15.157480    4.811685
0.644444   3047116.206691    -3.440224    13.658600    4.390604
0.693939   2106029.563438    -3.233273    12.368473    3.975521
0.743434   1558193.519731    -3.046189    11.263534    3.590162
0.792929   1215095.346029    -2.877249    10.317558    3.243005
0.842424   987348.526694    -2.724519    9.505816    2.934865
0.891919   828898.151132    -2.586125    8.806630    2.663146
0.941414   714336.114682    -2.460357    8.201662    2.424011
0.990909   628822.554535    -2.345702    7.675675    2.213419
1.040404   563263.013922    -2.240843    7.216111    2.027580
1.089899   511850.796653    -2.144640    6.812641    1.863119
1.139394   470745.300227    -2.056109    6.456765    1.717109
1.188889   437327.391020    -1.974400    6.141468    1.587039
1.238384   409762.516605    -1.898780    5.860939    1.470775
1.287879   386735.078865    -1.828611    5.610343    1.366503
1.337374   367281.766415    -1.763338    5.385637    1.272681
1.386869   350684.008144    -1.702478    5.183427    1.187996
1.436364   336396.815259    -1.645606    5.000845    1.111327
1.485859   324000.627063    -1.592351    4.835461    1.041718
1.535354   313168.053998    -1.542384    4.685204    0.978342
1.584848   303640.481356    -1.495414    4.548304    0.920492
1.634343   295211.330977    -1.451184    4.423236    0.867553
1.683838   287713.900817    -1.409463    4.308687    0.818993
1.733333   281012.404990    -1.370047    4.203519    0.774350
1.782828   274995.285822    -1.332752    4.106743    0.733218
1.832323   269570.161717    -1.297414    4.017495    0.695242
1.881818   264659.968268    -1.263883    3.935019    0.660113
1.931313   260199.980370    -1.232027    3.858652    0.627555
1.980808   256135.492155    -1.201723    3.787808    0.597326
2.030303   252419.993297    -1.172863    3.721969    0.569211
2.079798   249013.723523    -1.145345    3.660679    0.543019
2.129293   245882.517963    -1.119080    3.603529    0.518581
2.178788   242996.878071    -1.093985    3.550156    0.495744
2.228283   240331.218920    -1.069982    3.500237    0.474372
2.277778   237863.255450    -1.047004    3.453480    0.454344
2.327273   235573.498970    -1.024987    3.409626    0.435551
2.376768   233444.841733    -1.003871    3.368440    0.417892
2.426263   231462.212332    -0.983602    3.329711    0.401280
2.475758   229612.288360    -0.964132    3.293247    0.385634
2.525253   227883.255660    -0.945414    3.258877    0.370881
2.574747   226264.605678    -0.927405    3.226442    0.356954
2.624242   224746.964152    -0.910066    3.195803    0.343793
2.673737   223321.945658    -0.893361    3.166827    0.331344
2.723232   221982.029662    -0.877256    3.139398    0.319555
2.772727   220720.454454    -0.861718    3.113408    0.308383
2.822222   219531.126096    -0.846719    3.088758    0.297783
2.871717   218408.539962    -0.832232    3.065358    0.287719
2.921212   217347.712914    -0.818230    3.043125    0.278154
2.970707   216344.124496    -0.804690    3.021982    0.269057
3.020202   215393.665780    -0.791589    3.001861    0.260398
3.069697   214492.594744    -0.778906    2.982695    0.252148
3.119192   213637.497245    -0.766622    2.964427    0.244283
3.168687   212825.252787    -0.754719    2.947000    0.236779
3.218182   212053.004420    -0.743178    2.930364    0.229615
3.267677   211318.132213    -0.731984    2.914472    0.222770
3.317172   210618.229806    -0.721121    2.899280    0.216225
3.366667   209951.083657    -0.710575    2.884748    0.209965
3.416162   209314.654614    -0.700332    2.870838    0.203971
3.465657   208707.061528    -0.690380    2.857516    0.198230
3.515152   208126.566653    -0.680706    2.844748    0.192727
3.564646   207571.562600    -0.671298    2.832505    0.187449
3.614141   207040.560673    -0.662146    2.820757    0.182385
3.663636   206532.180411    -0.653240    2.809480    0.177523
3.713131   206045.140195    -0.644570    2.798648    0.172852
3.762626   205578.248803    -0.636127    2.788237    0.168363
3.812121   205130.397802    -0.627901    2.778227    0.164046
3.861616   204700.554676    -0.619885    2.768597    0.159893
3.911111   204287.756623    -0.612071    2.759328    0.155895
3.960606   203891.104932    -0.604451    2.750403    0.152045
4.010101   203509.759893    -0.597018    2.741804    0.148336
4.059596   203142.936171    -0.589765    2.733516    0.144760
4.109091   202789.898600    -0.582686    2.725524    0.141312
4.158586   202449.958358    -0.575774    2.717815    0.137985
4.208081   202122.469478    -0.569025    2.710374    0.134775
4.257576   201806.825665    -0.562431    2.703190    0.131675
4.307071   201502.457383    -0.555988    2.696251    0.128680
4.356566   201208.829196    -0.549691    2.689546    0.125787
4.406061   200925.437329    -0.543535    2.683065    0.122989
4.455556   200651.807431    -0.537515    2.676798    0.120284
4.505051   200387.492525    -0.531627    2.670735    0.117667
4.554545   200132.071117    -0.525866    2.664868    0.115134
4.604040   199885.145462    -0.520228    2.659188    0.112682
4.653535   199646.339967    -0.514710    2.653688    0.110308
4.703030   199415.299717    -0.509308    2.648360    0.108008
4.752525   199191.689112    -0.504017    2.643197    0.105778
4.802020   198975.190616    -0.498836    2.638192    0.103617
4.851515   198765.503591    -0.493759    2.633339    0.101522
4.901010   198562.343224    -0.488785    2.628631    0.099489
4.950505   198365.439533    -0.483910    2.624064    0.097517
5.000000   198174.536444    -0.479131    2.619631    0.095603
