Temperature,  <E>     <E^2>    Cv
============================================
0.010000   -inf    inf    nan
0.030101   -10064448673607450483228479112893622737103719360511226667947453972461402905367287585942404442315509826866278266531340127093950110250235104067584.000000    101579206310031940911308031309875151826463509974833255320887375979055825307556991937739725888244399590757335059683876322416919776213991247839232.000000    0.568145
0.050202   -380582133233736416237669889882722687263589313871157291669562135876577587443917651968.000000    3837352233457440269297492977392304200416665120578231157412989526371395780451963502592.000000    0.467661
0.070303   -44696178272954675069774443191215540027693027703789690290176.000000    450282964351299436258110942594464052108281802582420883505152.000000    0.395050
0.090404   -698778299881928879287732765316668772522655744.000000    7034647260132120387691833088057833430146088960.000000    0.343364
0.110505   -1279497546357509444227319602901680128.000000    12873090785660913197452202152516648960.000000    0.301010
0.130606   -1356102202195177555437541130240.000000    13637689335790537357352564162560.000000    0.257232
0.150707   -32423326661164872650194944.000000    325813216895804598948724736.000000    0.298952
0.170808   -13572187881621006843904.000000    136314338945700984782848.000000    0.298592
0.190909   -27557101006286934016.000000    276606415054724857856.000000    0.327150
0.211010   -185357645535966336.000000    1859355384911155712.000000    0.374055
0.231111   -2371535534298626.000000    23755075956022416.000000    0.554990
0.251212   -101906425578302.484375    1020851357677477.125000    0.541077
0.271313   -4692236980440.286133    46931364090584.640625    0.774972
0.291414   -336835102800.162170    3362015290414.246094    1.112444
0.311515   -41827122207.533264    416925025162.581970    1.362676
0.331616   -6332884615.006118    63015213056.626778    1.641038
0.351717   -958269410.293344    9481905849.369190    2.495499
0.371818   -294007556.601029    2912216016.697869    2.356751
0.391919   -65932931.176136    649142183.260746    3.201707
0.412020   -21904217.798222    215077644.736977    3.522674
0.432121   -6116640.869857    59351058.407650    4.863399
0.452222   -2799140.946088    27183173.723410    4.749257
0.472323   -908172.785525    8650919.749684    6.434860
0.492424   -387156.107868    3648308.692903    7.190993
0.512525   -185613.038762    1730400.266523    7.820641
0.532626   -111267.538007    1036968.930956    7.722381
0.552727   -54512.321618    497719.168735    8.574429
0.572828   -25409.996946    223391.552794    9.340886
0.592929   -17478.463210    154198.391957    9.274529
0.613030   -10119.893509    86897.748072    9.446815
0.633131   -8086.939362    70657.911951    9.292290
0.653232   -4717.558706    39752.171973    9.432666
0.673333   -3169.271162    26146.373114    9.278058
0.693434   -2066.561556    16460.505804    8.907466
0.713535   -1530.583354    11978.178596    8.535678
0.733636   -1242.928094    9834.643832    8.829904
0.753737   -853.426431    6416.673132    7.892365
0.773838   -674.209882    5021.571894    7.730241
0.793939   -534.271129    3941.539794    7.668028
0.814040   -429.035695    3106.339559    7.260960
0.834141   -351.769235    2507.236999    6.917925
0.854242   -273.257944    1887.956014    6.464968
0.874343   -228.081347    1553.780088    6.209051
0.894444   -195.063991    1320.723179    6.111133
0.914545   -165.365370    1098.452726    5.762216
0.934646   -144.413845    954.315010    5.668221
0.954747   -123.659302    803.934591    5.423528
0.974848   -106.845236    684.020603    5.185873
0.994949   -94.159724    595.295905    4.975782
1.015051   -82.532211    513.210221    4.724946
1.035152   -74.604002    459.727054    4.560312
1.055253   -66.304438    404.820662    4.450852
1.075354   -59.080734    354.890718    4.233873
1.095455   -53.912810    322.684907    4.172410
1.115556   -48.108792    281.088957    3.854003
1.135657   -44.693402    261.289766    3.844303
1.155758   -40.151030    230.498815    3.636484
1.175859   -37.477450    214.271663    3.552649
1.195960   -34.326862    194.097079    3.431662
1.216061   -31.844164    178.387702    3.311209
1.236162   -29.447999    163.210099    3.191352
1.256263   -27.536401    152.233858    3.151035
1.276364   -25.564761    139.347533    2.999681
1.296465   -24.209367    131.842320    2.963037
1.316566   -22.464346    120.428918    2.811829
1.336667   -21.363595    114.894152    2.814912
1.356768   -19.852602    104.601178    2.634199
1.376869   -19.006492    100.746740    2.656584
1.396970   -17.750333    92.273584    2.490008
1.417071   -16.978101    88.278742    2.463615
1.437172   -16.077951    83.024356    2.396844
1.457273   -15.297196    78.544885    2.337376
1.477374   -14.496996    73.903670    2.273670
1.497475   -13.883566    70.339210    2.207101
1.517576   -13.322049    67.322305    2.165252
1.537677   -12.606817    63.026378    2.087841
1.557778   -12.165919    60.757425    2.055838
1.577879   -11.690245    58.108673    2.004234
1.597980   -11.412265    56.909441    1.987305
1.618081   -10.806903    53.189161    1.904745
1.638182   -10.452749    51.357509    1.871660
1.658283   -10.097561    49.444958    1.830862
1.678384   -9.744127    47.535558    1.789988
1.698485   -9.381824    45.473303    1.739287
1.718586   -9.098535    44.067545    1.712459
1.738687   -8.818485    42.611718    1.679231
1.758788   -8.536468    41.157124    1.647960
1.778889   -8.335137    40.221812    1.626808
1.798990   -7.995731    38.226828    1.571631
1.819091   -7.808887    37.307560    1.544911
1.839192   -7.535462    35.888877    1.515207
1.859293   -7.321301    34.703614    1.476664
1.879394   -7.165790    34.020905    1.459155
1.899495   -6.962928    32.900977    1.422569
1.919596   -6.822768    32.335212    1.410309
1.939697   -6.634280    31.338909    1.379731
1.959798   -6.447833    30.327641    1.346458
1.979899   -6.265233    29.411575    1.322458
2.000000   -6.165387    28.959721    1.302192
