#T	β	c	e	chi	s
100	0.01	0.000153442	-0.681984	0.0197397	0.693071
50	0.02	0.000615764	-0.697353	0.0389632	0.69284
33.3333	0.03	0.00138947	-0.71277	0.057677	0.692455
25	0.04	0.00247641	-0.728229	0.075888	0.691913
20	0.05	0.00387774	-0.743723	0.0936029	0.691216
16.6667	0.06	0.00559395	-0.759249	0.110829	0.690362
14.2857	0.07	0.00762482	-0.774799	0.127573	0.689351
12.5	0.08	0.00996946	-0.790368	0.143844	0.688184
11.1111	0.09	0.0126263	-0.805952	0.159647	0.686859
10	0.1	0.015593	-0.821542	0.174991	0.685378
9.09091	0.11	0.0188667	-0.837136	0.189884	0.683741
8.33333	0.12	0.0224436	-0.852725	0.204333	0.681948
7.69231	0.13	0.0263197	-0.868305	0.218347	0.68
7.14286	0.14	0.0304898	-0.883871	0.231933	0.677899
6.66667	0.15	0.0349485	-0.899416	0.245101	0.675645
6.25	0.16	0.0396897	-0.914934	0.257857	0.67324
5.88235	0.17	0.0447066	-0.930421	0.27021	0.670684
5.55556	0.18	0.049992	-0.945871	0.282168	0.667981
5.26316	0.19	0.0555382	-0.961279	0.293741	0.66513
5	0.2	0.0613369	-0.976639	0.304936	0.662135
3.33333	0.3	0.131121	-1.12653	0.397962	0.624726
2.5	0.4	0.214869	-1.26677	0.462324	0.575738
2	0.5	0.301873	-1.3944	0.505567	0.518416
1.66667	0.6	0.383435	-1.50804	0.534013	0.456034
1.42857	0.7	0.453957	-1.60755	0.552621	0.391467
1.25	0.8	0.510767	-1.69367	0.565097	0.326982
1.11111	0.9	0.553328	-1.76762	0.574116	0.264227
1	1	0.582401	-1.83077	0.581574	0.204311
0.909091	1.1	0.599403	-1.88455	0.588787	0.147915
0.833333	1.2	0.605994	-1.93027	0.596657	0.0954085
0.769231	1.3	0.603848	-1.96909	0.605782	0.0469349
0.714286	1.4	0.594541	-2.00205	0.616543	0.00248596
0.666667	1.5	0.579504	-2.03003	0.629159	-0.0380495
0.625	1.6	0.560013	-2.05379	0.643729	-0.0748485
0.588235	1.7	0.537186	-2.07398	0.660264	-0.108128
0.555556	1.8	0.511988	-2.09113	0.67871	-0.138129
