#T	β	c	e	chiz	chic	s
100	0.01	1.86547e-05	-0.251861	0.00248762	0.0024875	0.693138
50	0.02	7.49831e-05	-0.253731	0.0049505	0.00495	0.69311
33.3333	0.03	0.00016952	-0.25561	0.00738863	0.00738751	0.693063
25	0.04	0.000302787	-0.257498	0.00980201	0.00980003	0.692997
20	0.05	0.000475287	-0.259395	0.0121907	0.0121876	0.692911
16.6667	0.06	0.000687507	-0.2613	0.0145546	0.0145501	0.692807
14.2857	0.07	0.00093992	-0.263214	0.0168938	0.0168878	0.692682
12.5	0.08	0.00123298	-0.265137	0.0192083	0.0192004	0.692538
11.1111	0.09	0.00156711	-0.267067	0.0214981	0.0214882	0.692374
10	0.1	0.00194274	-0.269006	0.0237633	0.0237511	0.69219
9.09091	0.11	0.00236026	-0.270953	0.0260038	0.0259891	0.691985
8.33333	0.12	0.00282004	-0.272907	0.0282197	0.0282022	0.69176
7.69231	0.13	0.00332244	-0.274869	0.030411	0.0303906	0.691515
7.14286	0.14	0.00386778	-0.276839	0.0325778	0.0325542	0.691249
6.66667	0.15	0.00445639	-0.278816	0.03472	0.034693	0.690963
6.25	0.16	0.00508855	-0.2808	0.0368378	0.0368072	0.690655
5.88235	0.17	0.00576452	-0.282791	0.0389311	0.0388966	0.690327
5.55556	0.18	0.00648455	-0.284789	0.0410001	0.0409615	0.689977
5.26316	0.19	0.00724884	-0.286794	0.0430447	0.0430018	0.689606
5	0.2	0.0080576	-0.288805	0.0450649	0.0450176	0.689214
3.33333	0.3	0.0186146	-0.309235	0.0639443	0.0638411	0.684102
2.5	0.4	0.033634	-0.330104	0.08047	0.0802928	0.676795
2	0.5	0.0528619	-0.351205	0.0947404	0.0944738	0.667298
1.66667	0.6	0.0757768	-0.372321	0.106882	0.106513	0.655686
1.42857	0.7	0.101628	-0.393233	0.117043	0.116563	0.642095
1.25	0.8	0.1295	-0.413736	0.125393	0.124795	0.626722
1.11111	0.9	0.158389	-0.433643	0.132112	0.131392	0.609807
1	1	0.187293	-0.452796	0.137387	0.136543	0.591619
0.909091	1.1	0.215278	-0.471064	0.141401	0.140434	0.572445
0.833333	1.2	0.241544	-0.488352	0.144334	0.143248	0.552572
0.769231	1.3	0.265456	-0.504596	0.146356	0.145153	0.532276
0.714286	1.4	0.286562	-0.51976	0.147619	0.146306	0.511813
0.666667	1.5	0.304586	-0.533838	0.148264	0.146845	0.49141
0.625	1.6	0.319417	-0.546842	0.148412	0.146894	0.471261
0.588235	1.7	0.331076	-0.558805	0.148169	0.146559	0.451531
0.555556	1.8	0.339694	-0.569771	0.147625	0.145929	0.43235
0.526316	1.9	0.345476	-0.579793	0.146856	0.14508	0.413816
0.5	2	0.348681	-0.588931	0.145924	0.144075	0.396004
0.47619	2.1	0.349592	-0.597248	0.14488	0.142962	0.378961
0.454545	2.2	0.348505	-0.604807	0.143765	0.141784	0.362715
0.434783	2.3	0.345712	-0.61167	0.142611	0.140572	0.34728
0.416667	2.4	0.34149	-0.617897	0.141444	0.139351	0.332651
0.4	2.5	0.336097	-0.623546	0.140284	0.13814	0.318816
0.384615	2.6	0.329766	-0.628669	0.139144	0.136953	0.305755
0.37037	2.7	0.322707	-0.633318	0.138036	0.135801	0.29344
0.357143	2.8	0.315102	-0.637537	0.136967	0.13469	0.28184
0.344828	2.9	0.30711	-0.64137	0.135942	0.133627	0.270921
0.333333	3	0.298866	-0.644853	0.134965	0.132612	0.260648
0.322581	3.1	0.290485	-0.648022	0.134036	0.131649	0.250985
