#T	β	c	e	chiz	chic	s
100	0.01	1.86547e-05	-0.00186087	0.00248762	0.0024875	0.693138
50	0.02	7.49831e-05	-0.00373091	0.0049505	0.00495	0.69311
33.3333	0.03	0.00016952	-0.00560999	0.00738863	0.00738751	0.693063
25	0.04	0.000302787	-0.00749799	0.00980201	0.00980003	0.692997
20	0.05	0.000475287	-0.00939478	0.0121907	0.0121876	0.692911
16.6667	0.06	0.000687507	-0.0113002	0.0145546	0.0145501	0.692807
14.2857	0.07	0.00093992	-0.0132142	0.0168938	0.0168878	0.692682
12.5	0.08	0.00123298	-0.0151366	0.0192083	0.0192004	0.692538
11.1111	0.09	0.00156711	-0.0170672	0.0214981	0.0214882	0.692374
10	0.1	0.00194274	-0.019006	0.0237633	0.0237511	0.69219
9.09091	0.11	0.00236026	-0.0209527	0.0260038	0.0259891	0.691985
8.33333	0.12	0.00282004	-0.0229072	0.0282197	0.0282022	0.69176
7.69231	0.13	0.00332244	-0.0248693	0.030411	0.0303906	0.691515
7.14286	0.14	0.00386778	-0.026839	0.0325778	0.0325542	0.691249
6.66667	0.15	0.00445639	-0.028816	0.03472	0.034693	0.690963
6.25	0.16	0.00508855	-0.0308002	0.0368378	0.0368072	0.690655
5.88235	0.17	0.00576452	-0.0327914	0.0389311	0.0388966	0.690327
5.55556	0.18	0.00648455	-0.0347894	0.0410001	0.0409615	0.689977
5.26316	0.19	0.00724884	-0.0367941	0.0430447	0.0430018	0.689606
5	0.2	0.0080576	-0.0388053	0.045065	0.0450176	0.689214
3.33333	0.3	0.0186146	-0.0592347	0.0639443	0.0638411	0.684102
2.5	0.4	0.033634	-0.0801042	0.08047	0.0802928	0.676795
2	0.5	0.0528619	-0.101205	0.0947404	0.0944738	0.667298
1.66667	0.6	0.0757768	-0.122321	0.106882	0.106513	0.655686
1.42857	0.7	0.101628	-0.143233	0.117043	0.116563	0.642095
1.25	0.8	0.129499	-0.163735	0.125393	0.124795	0.626722
1.11111	0.9	0.158389	-0.183643	0.132112	0.131392	0.609807
1	1	0.187293	-0.202796	0.137387	0.136543	0.591619
0.909091	1.1	0.215278	-0.221064	0.141401	0.140434	0.572445
0.833333	1.2	0.241544	-0.238352	0.144334	0.143248	0.552572
0.769231	1.3	0.265456	-0.254596	0.146356	0.145153	0.532276
0.714286	1.4	0.286562	-0.26976	0.147619	0.146306	0.511813
0.666667	1.5	0.304586	-0.283838	0.148264	0.146845	0.49141
0.625	1.6	0.319417	-0.296842	0.148412	0.146894	0.471261
0.588235	1.7	0.331076	-0.308805	0.148169	0.146559	0.451531
0.555556	1.8	0.339694	-0.319771	0.147625	0.145929	0.43235
0.526316	1.9	0.345476	-0.329793	0.146856	0.14508	0.413816
0.5	2	0.348681	-0.338931	0.145924	0.144075	0.396004
0.47619	2.1	0.349592	-0.347248	0.14488	0.142962	0.378961
0.454545	2.2	0.348505	-0.354807	0.143765	0.141784	0.362715
0.434783	2.3	0.345712	-0.36167	0.142611	0.140572	0.34728
0.416667	2.4	0.34149	-0.367897	0.141444	0.139351	0.332651
0.4	2.5	0.336097	-0.373546	0.140284	0.13814	0.318816
0.384615	2.6	0.329766	-0.378669	0.139144	0.136953	0.305755
0.37037	2.7	0.322707	-0.383318	0.138036	0.135801	0.29344
0.357143	2.8	0.315102	-0.387537	0.136967	0.13469	0.28184
0.344828	2.9	0.30711	-0.39137	0.135942	0.133627	0.270921
0.333333	3	0.298866	-0.394853	0.134965	0.132612	0.260648
0.322581	3.1	0.290485	-0.398022	0.134036	0.131649	0.250985
0.3125	3.2	0.282061	-0.400908	0.133157	0.130737	0.241895
0.30303	3.3	0.273673	-0.40354	0.132327	0.129875	0.233344
0.294118	3.4	0.265383	-0.405942	0.131545	0.129062	0.225298
0.285714	3.5	0.257241	-0.408139	0.13081	0.128296	0.217723
0.277778	3.6	0.249288	-0.410149	0.130118	0.127576	0.210588
0.27027	3.7	0.241552	-0.411991	0.12947	0.126899	0.203864
0.263158	3.8	0.234056	-0.413683	0.128861	0.126263	0.197522
0.25641	3.9	0.226814	-0.415238	0.12829	0.125666	0.191537
0.25	4	0.219836	-0.416669	0.127755	0.125105	0.185883
0.243902	4.1	0.213127	-0.417989	0.127254	0.124577	0.180537
0.238095	4.2	0.206689	-0.419208	0.126784	0.124082	0.175479
0.232558	4.3	0.20052	-0.420336	0.126344	0.123616	0.170689
0.227273	4.4	0.194616	-0.42138	0.12593	0.123178	0.166147
0.222222	4.5	0.188972	-0.422349	0.125542	0.122766	0.161837
0.217391	4.6	0.183579	-0.423249	0.125178	0.122378	0.157743
0.212766	4.7	0.17843	-0.424086	0.124836	0.122011	0.153851
0.208333	4.8	0.173517	-0.424866	0.124515	0.121666	0.150146
0.204082	4.9	0.168829	-0.425594	0.124212	0.12134	0.146617
0.2	5	0.164357	-0.426274	0.123928	0.121031	0.143251
0.196078	5.1	0.160091	-0.42691	0.123659	0.12074	0.140039
0.192308	5.2	0.156022	-0.427506	0.123406	0.120463	0.13697
0.188679	5.3	0.152139	-0.428065	0.123168	0.120201	0.134035
0.185185	5.4	0.148434	-0.42859	0.122942	0.119953	0.131226
0.181818	5.5	0.144897	-0.429084	0.122729	0.119716	0.128535
0.178571	5.6	0.141519	-0.429549	0.122527	0.119491	0.125955
0.175439	5.7	0.138293	-0.429987	0.122336	0.119277	0.123479
0.172414	5.8	0.135208	-0.430401	0.122155	0.119073	0.121101
