#T	β	c	e	chiz	chic	s
100	0.01	0.000133272	-0.338297	0.00642583	0.00658896	1.09855
50	0.02	0.000535332	-0.351653	0.0127036	0.0130228	1.09835
33.3333	0.03	0.00120913	-0.365062	0.0188338	0.0193021	1.09801
25	0.04	0.00215706	-0.378521	0.0248169	0.0254275	1.09754
20	0.05	0.00338094	-0.392024	0.0306537	0.0313998	1.09693
16.6667	0.06	0.00488198	-0.405567	0.0363448	0.0372198	1.09619
14.2857	0.07	0.00666084	-0.419145	0.0418912	0.0428885	1.0953
12.5	0.08	0.00871754	-0.432752	0.0472939	0.0484069	1.09428
11.1111	0.09	0.0110515	-0.446385	0.0525538	0.0537762	1.09312
10	0.1	0.0136616	-0.460038	0.0576721	0.0589977	1.09183
9.09091	0.11	0.016546	-0.473707	0.0626499	0.0640726	1.09039
8.33333	0.12	0.0197023	-0.487385	0.0674887	0.0690024	1.08882
7.69231	0.13	0.0231277	-0.501069	0.0721898	0.0737886	1.08711
7.14286	0.14	0.0268184	-0.514754	0.0767545	0.0784327	1.08526
6.66667	0.15	0.0307705	-0.528434	0.0811846	0.0829364	1.08328
6.25	0.16	0.0349793	-0.542104	0.0854814	0.0873014	1.08116
5.88235	0.17	0.0394395	-0.55576	0.0896467	0.0915294	1.07891
5.55556	0.18	0.0441455	-0.569396	0.0936822	0.0956224	1.07652
5.26316	0.19	0.0490911	-0.583008	0.0975897	0.0995823	1.074
5	0.2	0.0542695	-0.596592	0.101371	0.103411	1.07135
4	0.25	0.0833916	-0.663913	0.118451	0.120657	1.05621
3.33333	0.3	0.117112	-0.729842	0.132672	0.13494	1.03809
2.5	0.4	0.193523	-0.85563	0.153604	0.155747	0.994137
2	0.5	0.273706	-0.970981	0.166301	0.168087	0.942325
1.66667	0.6	0.349275	-1.07427	0.172739	0.174035	0.885622
1.42857	0.7	0.414567	-1.16504	0.174589	0.175336	0.826721
1.25	0.8	0.466748	-1.24373	0.173176	0.173367	0.767804
1.11111	0.9	0.505215	-1.31128	0.169508	0.169164	0.710476
1	1	0.530806	-1.3689	0.164324	0.163487	0.655815
0.909091	1.1	0.545123	-1.41786	0.158158	0.156878	0.60447
0.833333	1.2	0.550052	-1.45939	0.151393	0.149722	0.556766
0.769231	1.3	0.547466	-1.49461	0.1443	0.142287	0.512796
0.714286	1.4	0.539075	-1.52448	0.137071	0.134762	0.472501
0.666667	1.5	0.526357	-1.54987	0.129841	0.127276	0.435721
0.625	1.6	0.510545	-1.57149	0.122707	0.119918	0.402242
0.588235	1.7	0.492638	-1.58994	0.115735	0.11275	0.371819
0.555556	1.8	0.473428	-1.60574	0.108971	0.105815	0.3442
0.526316	1.9	0.453528	-1.6193	0.102448	0.0991403	0.319134
0.5	2	0.433405	-1.63097	0.0961844	0.0927458	0.296383
0.47619	2.1	0.413405	-1.64105	0.0901935	0.0866432	0.275722
0.454545	2.2	0.393776	-1.64979	0.0844812	0.0808389	0.256945
0.434783	2.3	0.374692	-1.65739	0.079049	0.0753353	0.239864
0.416667	2.4	0.35627	-1.66401	0.0738955	0.0701311	0.224309
0.4	2.5	0.338579	-1.6698	0.0690162	0.0652221	0.210127
0.384615	2.6	0.321659	-1.67488	0.0644052	0.0606019	0.19718
0.37037	2.7	0.305523	-1.67935	0.060055	0.0562624	0.185345
0.357143	2.8	0.290168	-1.68329	0.055957	0.0521938	0.174514
0.344828	2.9	0.275579	-1.68677	0.0521021	0.0483855	0.164588
0.333333	3	0.261732	-1.68986	0.0484805	0.0448259	0.155481
0.322581	3.1	0.2486	-1.69261	0.0450822	0.0415033	0.147115
0.3125	3.2	0.236152	-1.69505	0.0418971	0.0384054	0.139421
0.30303	3.3	0.224355	-1.69723	0.038915	0.0355201	0.132336
0.294118	3.4	0.213178	-1.69918	0.0361256	0.0328354	0.125806
0.285714	3.5	0.20259	-1.70093	0.0335191	0.0303396	0.11978
0.277778	3.6	0.192559	-1.70249	0.0310855	0.0280212	0.114215
0.27027	3.7	0.183057	-1.7039	0.0288153	0.0258691	0.10907
0.263158	3.8	0.174055	-1.70517	0.0266992	0.0238729	0.104309
0.25641	3.9	0.165528	-1.70632	0.0247281	0.0220224	0.0998988
0.25	4	0.157451	-1.70735	0.0228936	0.0203079	0.0958108
0.243902	4.1	0.149799	-1.70829	0.0211871	0.0187203	0.0920178
0.238095	4.2	0.142553	-1.70914	0.0196009	0.0172511	0.0884958
0.232558	4.3	0.135689	-1.70991	0.0181272	0.015892	0.0852226
0.227273	4.4	0.129189	-1.71061	0.016759	0.0146355	0.0821783
0.222222	4.5	0.123033	-1.71125	0.0154892	0.0134742	0.0793446
0.217391	4.6	0.117205	-1.71183	0.0143115	0.0124015	0.0767049
0.212766	4.7	0.111687	-1.71236	0.0132197	0.0114109	0.0742439
0.208333	4.8	0.106463	-1.71284	0.0122079	0.0104967	0.0719478
0.204082	4.9	0.101518	-1.71328	0.0112708	0.00965311	0.0698039
0.2	5	0.0968382	-1.71369	0.0104031	0.00887508	0.0678005
