#T	β	c	e	chiz	chic	s
100	0.01	0.000149207	-0.664894	0.0064362	0.00659975	1.09854
50	0.02	0.000598778	-0.67984	0.0127438	0.0130647	1.09831
33.3333	0.03	0.00135117	-0.694831	0.0189216	0.0193936	1.09794
25	0.04	0.00240819	-0.709864	0.0249685	0.0255852	1.09741
20	0.05	0.00377099	-0.724932	0.0308834	0.0316387	1.09673
16.6667	0.06	0.00544006	-0.74003	0.0366655	0.0375531	1.0959
14.2857	0.07	0.00741523	-0.755152	0.0423142	0.0433279	1.09492
12.5	0.08	0.00969565	-0.770294	0.047829	0.0489626	1.09379
11.1111	0.09	0.0122798	-0.78545	0.0532095	0.0544569	1.0925
10	0.1	0.0151655	-0.800613	0.0584554	0.0598107	1.09106
9.09091	0.11	0.0183499	-0.815779	0.0635669	0.0650238	1.08946
8.33333	0.12	0.0218295	-0.830941	0.0685439	0.0700965	1.08772
7.69231	0.13	0.0256002	-0.846096	0.0733866	0.075029	1.08583
7.14286	0.14	0.0296572	-0.861236	0.0780955	0.0798219	1.08378
6.66667	0.15	0.0339952	-0.876356	0.0826709	0.0844756	1.08159
6.25	0.16	0.0386082	-0.891452	0.0871136	0.0889908	1.07925
5.88235	0.17	0.0434899	-0.906517	0.0914242	0.0933685	1.07676
5.55556	0.18	0.0486331	-0.921547	0.0956037	0.0976094	1.07413
5.26316	0.19	0.0540305	-0.936536	0.0996529	0.101715	1.07136
5	0.2	0.0596739	-0.951479	0.103573	0.105686	1.06845
4	0.25	0.0912747	-1.02533	0.121281	0.123573	1.05184
3.33333	0.3	0.127621	-1.09734	0.135973	0.13833	1.03204
2.5	0.4	0.209246	-1.23387	0.157232	0.159439	0.984352
2	0.5	0.294163	-1.3582	0.169374	0.17116	0.928511
1.66667	0.6	0.373917	-1.46897	0.174457	0.175655	0.867701
1.42857	0.7	0.443051	-1.56605	0.17431	0.174841	0.804711
1.25	0.8	0.498938	-1.65014	0.17044	0.170276	0.741748
1.11111	0.9	0.541024	-1.7224	0.164015	0.163171	0.680418
1	1	0.570023	-1.78419	0.155919	0.154429	0.621805
0.909091	1.1	0.587287	-1.83685	0.146807	0.144716	0.566579
0.833333	1.2	0.594414	-1.88166	0.137158	0.134511	0.515105
0.769231	1.3	0.593018	-1.91976	0.12732	0.124154	0.46753
0.714286	1.4	0.584624	-1.95215	0.117548	0.113887	0.423851
0.666667	1.5	0.570618	-1.97968	0.108023	0.103882	0.383965
0.625	1.6	0.552235	-2.0031	0.0988714	0.0942628	0.347705
0.588235	1.7	0.530557	-2.02302	0.0901791	0.085124	0.314862
0.555556	1.8	0.506522	-2.03998	0.0820002	0.0765349	0.285208
0.526316	1.9	0.48093	-2.05442	0.0743643	0.0685446	0.258502
0.5	2	0.454453	-2.06674	0.0672824	0.0611818	0.234504
0.47619	2.1	0.427648	-2.07725	0.0607512	0.0544562	0.212979
0.454545	2.2	0.400968	-2.08622	0.0547572	0.0483595	0.193702
0.434783	2.3	0.374769	-2.09389	0.0492793	0.0428691	0.176459
0.416667	2.4	0.349327	-2.10045	0.0442914	0.0379511	0.161049
0.4	2.5	0.324847	-2.10607	0.0397641	0.0335648	0.147289
0.384615	2.6	0.301472	-2.11088	0.0356662	0.0296652	0.135007
0.37037	2.7	0.279296	-2.11502	0.0319658	0.0262068	0.124049
0.357143	2.8	0.258374	-2.11858	0.0286312	0.0231446	0.114274
0.344828	2.9	0.238725	-2.12164	0.0256314	0.0204364	0.105554
0.333333	3	0.220344	-2.12428	0.0229368	0.018043	0.097774
0.322581	3.1	0.203206	-2.12655	0.0205193	0.0159285	0.0908318
0.3125	3.2	0.187273	-2.12852	0.0183526	0.014061	0.084635
0.30303	3.3	0.172494	-2.13023	0.0164123	0.0124117	0.0791014
0.294118	3.4	0.158813	-2.1317	0.014676	0.0109552	0.0741578
0.285714	3.5	0.146171	-2.13298	0.0131229	0.00966881	0.069739
0.277778	3.6	0.134504	-2.1341	0.0117343	0.00853278	0.065787
0.27027	3.7	0.12375	-2.13507	0.0104933	0.0075295	0.0622504
0.263158	3.8	0.113846	-2.13591	0.00938426	0.00664349	0.0590835
0.25641	3.9	0.104732	-2.13665	0.0083934	0.00586106	0.0562458
0.25	4	0.0963508	-2.13729	0.00750819	0.00517016	0.0537013
0.243902	4.1	0.0886464	-2.13786	0.00671738	0.00456013	0.0514183
0.238095	4.2	0.0815668	-2.13835	0.0060109	0.00402158	0.0493683
0.232558	4.3	0.075063	-2.13878	0.00537972	0.00354617	0.0475262
0.227273	4.4	0.0690891	-2.13916	0.00481577	0.00312656	0.04587
0.222222	4.5	0.0636023	-2.1395	0.00431183	0.00275626	0.0443796
0.217391	4.6	0.0585632	-2.13979	0.00386146	0.00242951	0.0430377
0.212766	4.7	0.053935	-2.14006	0.00345888	0.00214125	0.0418285
0.208333	4.8	0.0496838	-2.14028	0.00309898	0.00188698	0.0407382
0.204082	4.9	0.0457785	-2.14049	0.00277717	0.00166271	0.0397545
0.2	5	0.0421904	-2.14067	0.00248935	0.00146495	0.0388662
0.196078	5.1	0.0388931	-2.14083	0.00223189	0.00129058	0.0380638
0.192308	5.2	0.0358624	-2.14097	0.00200153	0.00113686	0.0373383
0.188679	5.3	0.0330761	-2.14109	0.00179537	0.00100136	0.036682
0.185185	5.4	0.0305139	-2.1412	0.00161082	0.000881935	0.0360879
0.181818	5.5	0.0281571	-2.1413	0.00144559	0.000776691	0.0355499
0.178571	5.6	0.0259887	-2.14139	0.00129761	0.000683953	0.0350623
0.175439	5.7	0.0239931	-2.14147	0.00116505	0.000602246	0.0346202
0.172414	5.8	0.0221559	-2.14154	0.00104627	0.000530264	0.034219
0.169492	5.9	0.0204643	-2.1416	0.000939824	0.000466856	0.0338549
0.166667	6	0.018906	-2.14166	0.000844397	0.000411005	0.0335242
0.163934	6.1	0.0174703	-2.14171	0.00075883	0.000361815	0.0332237
0.16129	6.2	0.0161472	-2.14175	0.000682085	0.000318496	0.0329505
0.15873	6.3	0.0149273	-2.14179	0.000613237	0.000280349	0.032702
0.15625	6.4	0.0138025	-2.14182	0.000551457	0.000246759	0.0324759
0.153846	6.5	0.0127649	-2.14186	0.000496006	0.000217183	0.03227
0.151515	6.6	0.0118076	-2.14189	0.000446224	0.000191144	0.0320825
0.149254	6.7	0.010924	-2.14191	0.000401521	0.00016822	0.0319116
0.147059	6.8	0.0101084	-2.14193	0.000361369	0.00014804	0.0317559
0.144928	6.9	0.00935527	-2.14195	0.000325297	0.000130275	0.0316139
0.142857	7	0.00865967	-2.14197	0.000292882	0.000114639	0.0314843
0.140845	7.1	0.00801705	-2.14199	0.000263747	0.000100875	0.0313661
0.138889	7.2	0.00742324	-2.14201	0.000237554	8.87612e-05	0.0312582
0.136986	7.3	0.0068744	-2.14202	0.000214002	7.80994e-05	0.0311596
0.135135	7.4	0.00636701	-2.14203	0.000192819	6.87156e-05	0.0310696
