#T	β	c	e	chiz	chic	s
100	0.01	0.000127949	-0.0127645	0.00641545	0.00657815	1.09855
50	0.02	0.000514087	-0.0255884	0.0126632	0.0129808	1.09836
33.3333	0.03	0.00116146	-0.0384674	0.0187454	0.0192102	1.09803
25	0.04	0.00207258	-0.0513971	0.0246641	0.0252686	1.09758
20	0.05	0.0032494	-0.0643731	0.0304217	0.0311586	1.097
16.6667	0.06	0.00469332	-0.0773907	0.0360203	0.0368825	1.09628
14.2857	0.07	0.00640518	-0.0904455	0.0414622	0.0424427	1.09543
12.5	0.08	0.00838523	-0.103533	0.0467497	0.0478417	1.09445
11.1111	0.09	0.0106331	-0.116648	0.0518852	0.0530821	1.09334
10	0.1	0.013148	-0.129786	0.0568711	0.0581664	1.09209
9.09091	0.11	0.0159284	-0.142942	0.0617098	0.0630972	1.09071
8.33333	0.12	0.0189721	-0.156112	0.0664037	0.0678772	1.08919
7.69231	0.13	0.0222766	-0.169291	0.0709553	0.0725089	1.08755
7.14286	0.14	0.0258387	-0.182473	0.0753671	0.0769949	1.08577
6.66667	0.15	0.0296546	-0.195655	0.0796415	0.0813381	1.08385
6.25	0.16	0.0337201	-0.208832	0.0837811	0.085541	1.08181
5.88235	0.17	0.0380303	-0.221997	0.0877885	0.0896064	1.07964
5.55556	0.18	0.0425799	-0.235148	0.0916662	0.093537	1.07734
5.26316	0.19	0.0473631	-0.24828	0.0954167	0.0973354	1.07491
5	0.2	0.0523736	-0.261387	0.0990426	0.101004	1.07235
4	0.25	0.0805878	-0.326401	0.115393	0.117504	1.05773
3.33333	0.3	0.113323	-0.390155	0.129012	0.131176	1.0402
2.5	0.4	0.187706	-0.512019	0.149289	0.151341	0.997622
2	0.5	0.265972	-0.624011	0.16218	0.163926	0.947317
1.66667	0.6	0.339805	-0.724443	0.169642	0.170981	0.89218
1.42857	0.7	0.403495	-0.81278	0.173233	0.174131	0.834861
1.25	0.8	0.454124	-0.889357	0.174135	0.174599	0.777524
1.11111	0.9	0.491037	-0.955048	0.173209	0.173274	0.721772
1	1	0.515068	-1.01101	0.17107	0.170783	0.668686
0.909091	1.1	0.527864	-1.05847	0.168147	0.167563	0.618913
0.833333	1.2	0.531375	-1.09865	0.164736	0.163911	0.572772
0.769231	1.3	0.527553	-1.13262	0.16104	0.160027	0.530347
0.714286	1.4	0.518175	-1.16138	0.157197	0.156046	0.491565
0.666667	1.5	0.504778	-1.18576	0.153299	0.152054	0.456253
0.625	1.6	0.48863	-1.20647	0.149405	0.148109	0.424179
0.588235	1.7	0.470754	-1.22411	0.145556	0.144243	0.395085
0.555556	1.8	0.451946	-1.2392	0.141775	0.140477	0.368707
0.526316	1.9	0.432816	-1.25214	0.138077	0.136819	0.344784
0.5	2	0.413811	-1.26328	0.134468	0.133274	0.323068
0.47619	2.1	0.395257	-1.27292	0.130951	0.129839	0.30333
0.454545	2.2	0.377372	-1.28128	0.127525	0.126512	0.285358
0.434783	2.3	0.360301	-1.28857	0.124189	0.123286	0.268963
0.416667	2.4	0.344125	-1.29495	0.120939	0.120157	0.253974
0.4	2.5	0.328882	-1.30056	0.117772	0.117118	0.240238
0.384615	2.6	0.314576	-1.30551	0.114683	0.114164	0.227621
0.37037	2.7	0.301188	-1.3099	0.11167	0.111288	0.216002
0.357143	2.8	0.288682	-1.3138	0.108727	0.108485	0.205278
0.344828	2.9	0.277014	-1.31728	0.105852	0.105752	0.195353
0.333333	3	0.266129	-1.3204	0.103041	0.103083	0.186148
0.322581	3.1	0.255975	-1.32321	0.100293	0.100475	0.177589
0.3125	3.2	0.246496	-1.32574	0.0976042	0.0979241	0.169613
0.30303	3.3	0.237636	-1.32803	0.0949726	0.0954284	0.162165
0.294118	3.4	0.229343	-1.33011	0.0923966	0.0929851	0.155196
0.285714	3.5	0.221569	-1.33201	0.0898746	0.090592	0.148661
0.277778	3.6	0.214266	-1.33374	0.0874051	0.0882474	0.142523
0.27027	3.7	0.207391	-1.33532	0.084987	0.0859496	0.136747
0.263158	3.8	0.200906	-1.33677	0.0826192	0.0836975	0.131303
0.25641	3.9	0.194774	-1.33811	0.0803009	0.0814898	0.126164
0.25	4	0.188963	-1.33934	0.0780312	0.0793256	0.121307
0.243902	4.1	0.183443	-1.34047	0.0758095	0.0772042	0.116709
0.238095	4.2	0.178187	-1.34152	0.0736352	0.0751247	0.112352
0.232558	4.3	0.173173	-1.3425	0.0715076	0.0730867	0.108219
0.227273	4.4	0.168377	-1.3434	0.0694264	0.0710895	0.104293
0.222222	4.5	0.163782	-1.34424	0.067391	0.0691328	0.100561
0.217391	4.6	0.15937	-1.34502	0.0654009	0.0672161	0.0970096
0.212766	4.7	0.155126	-1.34575	0.0634558	0.0653389	0.0936279
0.208333	4.8	0.151036	-1.34642	0.0615551	0.063501	0.0904052
0.204082	4.9	0.147088	-1.34706	0.0596986	0.0617021	0.0873317
0.2	5	0.143271	-1.34765	0.0578856	0.0599417	0.0843988
0.196078	5.1	0.139577	-1.3482	0.0561158	0.0582196	0.0815983
0.192308	5.2	0.135995	-1.34872	0.0543888	0.0565354	0.0789228
0.188679	5.3	0.13252	-1.34921	0.0527041	0.0548888	0.0763655
0.185185	5.4	0.129143	-1.34967	0.0510611	0.0532795	0.0739201
0.181818	5.5	0.12586	-1.3501	0.0494594	0.0517071	0.0715806
0.178571	5.6	0.122664	-1.3505	0.0478985	0.0501713	0.0693416
0.175439	5.7	0.119551	-1.35088	0.0463778	0.0486717	0.0671981
0.172414	5.8	0.116516	-1.35124	0.0448969	0.0472079	0.0651454
0.169492	5.9	0.113557	-1.35157	0.0434551	0.0457796	0.063179
0.166667	6	0.110669	-1.35189	0.0420519	0.0443862	0.0612947
0.163934	6.1	0.107849	-1.35219	0.0406866	0.0430275	0.0594888
0.16129	6.2	0.105095	-1.35247	0.0393587	0.0417028	0.0577576
0.15873	6.3	0.102405	-1.35274	0.0380675	0.0404119	0.0560976
0.15625	6.4	0.0997752	-1.35299	0.0368125	0.0391542	0.0545056
0.153846	6.5	0.097205	-1.35322	0.0355929	0.0379292	0.0529787
0.151515	6.6	0.0946922	-1.35345	0.0344081	0.0367364	0.0515138
0.149254	6.7	0.0922351	-1.35366	0.0332575	0.0355753	0.0501084
0.147059	6.8	0.0898324	-1.35386	0.0321404	0.0344455	0.0487598
0.144928	6.9	0.0874826	-1.35405	0.0310561	0.0333463	0.0474656
0.142857	7	0.0851844	-1.35423	0.030004	0.0322773	0.0462234
0.140845	7.1	0.0829369	-1.3544	0.0289833	0.0312379	0.0450311
0.138889	7.2	0.0807388	-1.35456	0.0279934	0.0302275	0.0438866
0.136986	7.3	0.0785893	-1.35471	0.0270335	0.0292457	0.0427879
0.135135	7.4	0.0764873	-1.35485	0.0261031	0.0282918	0.041733
0.133333	7.5	0.074432	-1.35499	0.0252014	0.0273652	0.0407202
0.131579	7.6	0.0724226	-1.35512	0.0243278	0.0264655	0.0397477
0.12987	7.7	0.0704582	-1.35524	0.0234815	0.025592	0.038814
0.128205	7.8	0.0685381	-1.35535	0.0226619	0.0247442	0.0379173
0.126582	7.9	0.0666616	-1.35546	0.0218684	0.0239215	0.0370563
0.125	8	0.0648279	-1.35557	0.0211002	0.0231234	0.0362294
0.123457	8.1	0.0630363	-1.35567	0.0203567	0.0223493	0.0354354
0.121951	8.2	0.0612862	-1.35576	0.0196372	0.0215985	0.0346728
0.120482	8.3	0.0595769	-1.35585	0.0189412	0.0208707	0.0339404
0.119048	8.4	0.0579078	-1.35593	0.018268	0.0201651	0.0332371
0.117647	8.5	0.0562781	-1.35601	0.0176169	0.0194813	0.0325616
0.116279	8.6	0.0546872	-1.35609	0.0169873	0.0188188	0.0319128
