Temperature,  F    <E>     <E^2>    Cv    entropy   dE_LT      dE2_LT
============================================
0.010000   0.108662   -14.094130    198.644499    0.000000   -1420.279166   0.000000    0.000000
0.010723   0.116514   -14.094130    198.644499    -0.000000   -1325.289447   0.000000    0.000000
0.011498   0.124935   -14.094130    198.644499    -0.000000   -1236.701717   0.000000    0.000000
0.012328   0.133963   -14.094130    198.644499    -0.000000   -1154.084504   0.000000    0.000000
0.013219   0.143644   -14.094130    198.644499    0.000000   -1077.035415   0.000000    0.000000
0.014175   0.154025   -14.094130    198.644499    0.000000   -1005.179176   0.000000    0.000000
0.015199   0.165156   -14.094130    198.644499    -0.000000   -938.165807   0.000000    0.000000
0.016298   0.177092   -14.094130    198.644499    -0.000000   -875.668915   0.000000    0.000000
0.017475   0.189889   -14.094130    198.644499    -0.000000   -817.384105   0.000000    0.000000
0.018738   0.203612   -14.094130    198.644499    0.000000   -763.027495   0.000000    0.000000
0.020092   0.218327   -14.094130    198.644499    0.000000   -712.334339   0.000000    0.000000
0.021544   0.234105   -14.094130    198.644499    0.000000   -665.057732   0.000000    0.000000
0.023101   0.251023   -14.094130    198.644499    0.000000   -620.967411   0.000000    0.000000
0.024771   0.269163   -14.094130    198.644499    0.000001   -579.848629   0.000000    0.000000
0.026561   0.288615   -14.094130    198.644499    0.000003   -541.501115   0.000000    0.000000
0.028480   0.309472   -14.094130    198.644499    0.000009   -505.738096   0.000000    0.000000
0.030539   0.331837   -14.094130    198.644498    0.000026   -472.385383   0.000000    0.000000
0.032745   0.355818   -14.094130    198.644495    0.000071   -441.280530   0.000000    0.000001
0.035112   0.381532   -14.094130    198.644487    0.000182   -412.272034   0.000000    0.000002
0.037649   0.409104   -14.094129    198.644467    0.000434   -385.218601   0.000000    0.000006
0.040370   0.438669   -14.094127    198.644416    0.000965   -359.988451   0.000001    0.000015
0.043288   0.470370   -14.094123    198.644300    0.002017   -336.458672   0.000001    0.000035
0.046416   0.504362   -14.094114    198.644048    0.003971   -314.514613   0.000003    0.000080
0.049770   0.540809   -14.094095    198.643533    0.007399   -294.049312   0.000007    0.000170
0.053367   0.579888   -14.094059    198.642533    0.013097   -274.962966   0.000014    0.000347
0.057224   0.621787   -14.093992    198.640685    0.022094   -257.162421   0.000026    0.000672
0.061359   0.666708   -14.093874    198.637423    0.035638   -240.560715   0.000049    0.001247
0.065793   0.714864   -14.093675    198.631911    0.055123   -225.076630   0.000087    0.002217
0.070548   0.766482   -14.093351    198.622962    0.081973   -210.634301   0.000148    0.003791
0.075646   0.821801   -14.092846    198.608976    0.117484   -197.162849   0.000244    0.006245
0.081113   0.881072   -14.092083    198.587882    0.162629   -184.596052   0.000388    0.009936
0.086975   0.944559   -14.090971    198.557116    0.217863   -172.872060   0.000597    0.015296
0.093260   1.012538   -14.089400    198.513649    0.282947   -161.933134   0.000891    0.022823
0.100000   1.085297   -14.087245    198.454054    0.356838   -151.725424   0.001290    0.033053
0.107227   1.163133   -14.084375    198.374643    0.437682   -142.198767   0.001816    0.046524
0.114976   1.246357   -14.080651    198.271642    0.522936   -133.306497   0.002488    0.063725
0.123285   1.335292   -14.075941    198.141390    0.609644   -125.005262   0.003321    0.085036
0.132194   1.430274   -14.070124    197.980523    0.694837   -117.254826   0.004323    0.110679
0.141747   1.531658   -14.063089    197.786075    0.776038   -110.017858   0.005496    0.140680
0.151991   1.639813   -14.054743    197.555466    0.851757   -103.259698   0.006832    0.174861
0.162975   1.755132   -14.044992    197.286300    0.921909   -96.948100   0.008316    0.212860
0.174753   1.878027   -14.033738    196.975970    0.988041   -91.052969   0.009928    0.254194
0.187382   2.008932   -14.020844    196.621055    1.053332   -85.546097   0.011645    0.298340
0.200923   2.148302   -14.006115    196.216562    1.122359   -80.400913   0.013446    0.344825
0.215443   2.296605   -13.989258    195.755058    1.200687   -75.592279   0.015313    0.393317
0.231013   2.454319   -13.969850    195.225775    1.294364   -71.096307   0.017235    0.443704
0.247708   2.621921   -13.947303    194.613738    1.409420   -66.890241   0.019212    0.496140
0.265609   2.799870   -13.920831    193.898983    1.551404   -62.952365   0.021253    0.551081
0.284804   2.988596   -13.889420    193.055918    1.724996   -59.261952   0.023376    0.609273
0.305386   3.188478   -13.851807    192.052881    1.933643   -55.799251   0.025609    0.671704
0.327455   3.399821   -13.806460    190.852000    2.179200   -52.545495   0.027985    0.739456
0.351119   3.622831   -13.751582    189.409481    2.461531   -49.482952   0.030531    0.813457
0.376494   3.857591   -13.685127    187.676492    2.778096   -46.594999   0.033260    0.894100
0.403702   4.104034   -13.604843    185.600820    3.123579   -43.866240   0.036155    0.980783
0.432876   4.361920   -13.508350    183.129414    3.489690   -41.282641   0.039152    1.071457
0.464159   4.630820   -13.393247    180.211828    3.865283   -38.831676   0.042132    1.162350
0.497702   4.910101   -13.257256    176.804345    4.236913   -36.502453   0.044920    1.247999
0.533670   5.198930   -13.098365    172.874367    4.589862   -34.285790   0.047301    1.321707
0.572237   5.496284   -12.914983    168.404436    4.909537   -32.174211   0.049049    1.376405
0.613591   5.800965   -12.706055    163.395208    5.182990   -30.161833   0.049964    1.405795
0.657933   6.111640   -12.471134    157.866822    5.400233   -28.244164   0.049913    1.405509
0.705480   6.426863   -12.210392    151.858419    5.555043   -26.417827   0.048851    1.373994
0.756463   6.745123   -11.924581    145.425960    5.645110   -24.680249   0.046840    1.312860
0.811131   7.064868   -11.614962    138.638850    5.671557   -23.029367   0.044034    1.226606
0.869749   7.384543   -11.283218    131.576002    5.638084   -21.463389   0.040651    1.121799
0.932603   7.702616   -10.931369    124.321944    5.549999   -19.980611   0.036938    1.005958
