Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.010000   -inf   nan    nan    nan   nan
0.010723   -inf   nan    nan    nan   nan
0.011498   -inf   nan    nan    nan   nan
0.012328   -inf   nan    nan    nan   nan
0.013219   -inf   nan    nan    nan   nan
0.014175   -inf   nan    nan    nan   nan
0.015199   -inf   nan    nan    nan   nan
0.016298   -inf   nan    nan    nan   nan
0.017475   -inf   nan    nan    nan   nan
0.018738   -inf   nan    nan    nan   nan
0.020092   -inf   nan    nan    nan   nan
0.021544   -inf   nan    nan    nan   nan
0.023101   -inf   nan    nan    nan   nan
0.024771   -inf   nan    nan    nan   nan
0.026561   -inf   nan    nan    nan   nan
0.028480   -inf   nan    nan    nan   nan
0.030539   -inf   nan    nan    nan   nan
0.032745   -21.833265   -22.188079    492.311691    0.782439   -10.835521
0.035112   -21.806579   -22.186126    492.225097    0.728002   -10.809637
0.037649   -21.781459   -22.184365    492.147002    0.668530   -10.701538
0.040370   -21.749117   -22.182288    492.054934    0.622151   -10.729983
0.043288   -21.720272   -22.180829    491.990255    0.564994   -10.639486
0.046416   -21.689394   -22.178836    491.901905    0.518771   -10.544710
0.049770   -21.652042   -22.177331    491.835173    0.472456   -10.554284
0.053367   -21.610845   -22.175737    491.764531    0.430924   -10.585043
0.057224   -21.570402   -22.174257    491.698973    0.390356   -10.552538
0.061359   -21.529022   -22.173277    491.655536    0.349252   -10.499752
0.065793   -21.485180   -22.170904    491.550366    0.320595   -10.422395
0.070548   -21.431575   -22.170107    491.515060    0.286924   -10.468495
0.075646   -21.378383   -22.168445    491.441439    0.259917   -10.444157
0.081113   -21.320092   -22.166834    491.370068    0.235297   -10.439023
0.086975   -21.262542   -22.165149    491.295425    0.212456   -10.377787
0.093260   -21.194129   -22.163406    491.218221    0.192706   -10.393231
0.100000   -21.118402   -22.162956    491.198341    0.172069   -10.445541
0.107227   -21.052136   -22.162014    491.156647    0.153341   -10.350759
0.114976   -20.971560   -22.160718    491.099265    0.138456   -10.342689
0.123285   -20.883579   -22.160139    491.073665    0.124467   -10.354572
0.132194   -20.798186   -22.158081    490.982545    0.113919   -10.287104
0.141747   -20.706535   -22.158730    491.011352    0.101492   -10.244945
0.151991   -20.585487   -22.155511    490.868930    0.098778   -10.329705
0.162975   -20.486584   -22.155649    490.875226    0.091232   -10.241233
0.174753   -20.348441   -22.154054    490.804979    0.093646   -10.332385
0.187382   -20.239393   -22.153490    490.780459    0.095004   -10.214961
0.200923   -20.085374   -22.151852    490.708964    0.109388   -10.284911
0.215443   -19.932864   -22.150703    490.659827    0.132844   -10.294298
0.231013   -19.763012   -22.146644    490.483257    0.176807   -10.318171
0.247708   -19.605555   -22.144544    490.394769    0.226889   -10.249942
0.265609   -19.407102   -22.138465    490.134240    0.320707   -10.283403
0.284804   -19.229727   -22.132486    489.881343    0.424083   -10.192143
0.305386   -19.014338   -22.121027    489.394497    0.586301   -10.173005
0.327455   -18.799038   -22.109485    488.910830    0.760265   -10.109625
0.351119   -18.539953   -22.084684    487.870116    1.110157   -10.095519
0.376494   -18.270456   -22.048442    486.351002    1.532325   -10.034664
0.403702   -18.036663   -22.012877    484.868408    1.850838   -9.849386
0.432876   -17.747093   -21.947684    482.153254    2.414401   -9.703909
0.464159   -17.422878   -21.839992    477.683971    3.243215   -9.516384
0.497702   -17.087671   -21.716779    472.618680    4.037731   -9.300958
0.533670   -16.800357   -21.593736    467.576424    4.518887   -8.981916
0.572237   -16.465045   -21.419090    460.471256    5.172682   -8.657335
0.613591   -16.119985   -21.187477    451.100611    5.820656   -8.258749
0.657933   -15.753443   -20.889461    439.115595    6.343664   -7.806291
0.705480   -15.385790   -20.573536    426.598004    6.685994   -7.353495
0.756463   -15.008480   -20.195895    411.779689    6.825031   -6.857456
0.811131   -14.664343   -19.872699    399.435528    6.856883   -6.421105
0.869749   -14.279115   -19.424594    382.412281    6.738501   -5.916051
0.932603   -13.954112   -19.088321    370.072244    6.563094   -5.505244
1.000000   -13.594558   -18.644217    353.928051    6.321231   -5.049659
1.072267   -13.239949   -18.170771    336.989801    5.925504   -4.598501
1.149757   -12.901130   -17.734827    322.040890    5.686178   -4.204103
1.232847   -12.568291   -17.275255    306.547247    5.337685   -3.817963
1.321941   -12.248206   -16.827378    291.962840    5.036934   -3.463976
1.417474   -11.934186   -16.365121    277.272562    4.705963   -3.125937
1.519911   -11.625790   -15.884394    262.361891    4.349501   -2.801877
1.629751   -11.334178   -15.432886    248.887952    4.033750   -2.514929
