Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.010000   -inf   -inf    inf    nan   nan
0.010723   -inf   -inf    inf    nan   nan
0.011498   -inf   -inf    inf    nan   nan
0.012328   -inf   -inf    inf    nan   nan
0.013219   -inf   -inf    inf    nan   nan
0.014175   -inf   -inf    inf    nan   nan
0.015199   -inf   -inf    inf    nan   nan
0.016298   -inf   -inf    inf    nan   nan
0.017475   -inf   -inf    inf    nan   nan
0.018738   -inf   -inf    inf    nan   nan
0.020092   -inf   -inf    inf    nan   nan
0.021544   -inf   -inf    inf    nan   nan
0.023101   -inf   -inf    inf    nan   nan
0.024771   -inf   -inf    inf    nan   nan
0.026561   -inf   -inf    inf    nan   nan
0.028480   -19.294079   -32259413675092260835970643976643453201404272201416400613082480953591772745026173781874638580273402690527682676994830796609077930075008044236629281140868797629074872877931482827100868131837230373471407609030349718692296014636886577167056068393932632933490094187901190968642429285901029369572229120.000000    636213731011970401053057845946108041697490466820364004891867620853629242326046843328363067328856051155670200688804896687557680827986161652454626110876547447139907281436532411481573117857120347930842018169089208648217882138223203503965342282121469674269178574722720496691467722095692966413528465408.000000    0.666068   -1132689866466065408442347698403771543808975547821127043290081384245089859977631457429106817589998315310804858281000899510935062052133164263343381283734743219317475015259417417636071695590693221032987171924726527561288131657870319298768738454106536171965949831447232792416838931430969270731062378496.000000
0.030539   -19.263384   -175020615933467700024676507926862723550162417436836131180342614284027018905372426614629269778815357409730648494178787467035576634021010267349855883900020349433735163724428008591007187919758030024012329960761084998521112422969174476859385876535246695931558267789385075882196992.000000    3451460731820134630559395988502584453465668027589277411947213789868622306561584598139281299813921359711954129571528301094652360889532730845171677334021171472113707022400918167602381001836005171197956653842019410221728579002320798052248125007166629481568822043477423142972948480.000000    0.663007   -5731136113912623889102050002717103844470867239304742741809483810915740072315067042081376099360418767259767320707060788934602115436148104568733238154755305849148890864417980108148243290846761116407517850900110853056376124477762195431685216360153635117495178485489347786019176448.000000
0.032745   -19.230575   -22116758160404230165771666558028954173005717221362567190715011942636214061073098420528662605361013803531247000583971868538868428623394992552081692547351665269787509912539416490223935916459655251646065168203278156817694569483384442834791064354813047411310592.000000    436114632273411436186747849898237322269462933616621442104726664128924684264990248921238532106217220592708693338183032899671570943628557906772894039486442878598436316278812920932031014274830989445343457257219619181000523559592286659570147816680596144583081984.000000    0.657029   -675413837456847979486553688506016369857518350528090876044782834746616898025933182142042857540330285810458266146697931449854956745028775767401279189620987174767518621256790940477381857038733972825929446531036575909217480816885409347268074468610516176651419648.000000
0.035112   -19.196146   -53619515235998538072969502091729245620997660885225017759773122663059185099780648572972433791922287021427722737601270077456004751703403443244423694458273298095942249082005239697894836687542794275481766467273535123428056742992949218843295744.000000    1057197284107918833685438989814147972403925113230589361937982230680366104814549821303266048979553142812300473777680597714296756953491090781724990094150818175549308125186675642936199499564623235660822240315014410468736089375571937489894506496.000000    0.659195   -1527103026402594632938759564889782039905759240685897885130668383192297683242953806645652227295923362434552821374394207455418546457796172578018027168457745804525778458587953354494111346660916021161232751247181841797661844397845820546291335168.000000
0.037649   -19.158188   -1946005662555482790156432766793251249494412885994200804103357939260041274202463739818641066176467633375814243306478879270419318547340166311573074100389882618745123616474797682916062893769386222712854622023131232438893674496.000000    38366012628130518875059254668887536283298338058591145517663224493673489231562429370727875166791765365969121495212835227855210855419413417240912746917300388772529286252953631164865047777976426961077997178061130298004563034112.000000    0.641523   -51687618658585525887850650037661085765356697119648385597789067723360960992673435515088806423544459221430217093134990285714437405281629615524179514026889272334831620657654461022214362886271501226775193476789575608132278681600.000000
0.040370   -19.118011   -917524878669826144158148917076340160299409839273930062775657637479016072769822721250029916700602732492414387869696483181071775183806546761647580359208848657426990535989864167218614073348174922775655199277056.000000    18087652070855455932547771883026263115532211577619587220819120108518965573711840895376181172720393463649856256789244953851095349325542022892520917417765698082213027342909154892241300984357031904966300814802944.000000    0.629670   -22727791829871338623331448124817493579340096278288036840083656300266122111721765004546083822286324708592282091059491665613653549105755258296869432964444001195194420471892953962285359665805589065738516042874880.000000
0.043288   -19.074503   -4621161514978577456921029708926061192108232648055027961815334804478728799361843643777588848739384307609330305074806461560867617410316030198970322315454365388381230002141375889751325791423037440.000000    91092465019979441921646337038738363101737569424630934206785511423732985716359556526397234192517524240492018887996470418658405765185458364651315079608777239037407355039761130138865009389924777984.000000    0.613257   -106754824646330576349555839401190082786095558435746130100275077440130759699306950550884039962054284105501602586069382581511451855691120375572002727595502580422958106687375994800204535510499065856.000000
0.046416   -19.028590   -217482234267413070975641277808381412727851769425659227945642862884013458134643216117961669687431042158825481713776616923228240978420955470625840636996481748084146841518517851783168.000000    4286594557009952181610501661269827698569129435421087584725876117959326744967474184800116317936508659643525343741025574581296398884183852121289565481118626236651090492491147167924224.000000    0.602390   -4685512699713454469450442082064060359063189274174930564005229847895332725202286654986336342593923087510440759191069108384244820530013446850248359135409891630668726826419836449456128.000000
0.049770   -18.981222   -84049755105128986552364168128632816359841977593286046762751935060154702298524370508432364359224484269007584563182330386187823870645153912215529635651538355353978667008.000000    1656386564142192286074330069965415213632172747530686218285435398483870953274715675045657468776593480534167843967637985510345016857393976871196283901096407568852828815360.000000    0.599301   -1688755418147317933592239516222369585291498665254798711247384136056954548443399078538811652355132736423251574701347325544490797883341500506958284575044335146309230002176.000000
0.053367   -18.927661   -211703627283162930508978993019592013244092670195722655679001319166806229818304737531861542697675204241858060494211820953103141378581256836470233199611478016.000000    4171749084890615345589653042430699542062101991684815934035670065343435202862805045628955288845892362859923392935688839043814557746893024557746806439517618176.000000    0.587221   -3966939452859241552137739763281139952807275614260801830836930062713816676243705680739449646433850120529373619383665121608907117353479314719418235670673489920.000000
0.057224   -18.870894   -3263444124542711391707676407317371384358604687315564835243131788568036095023358897158995751235985828416080364443521495749004708182264112752885760.000000    64301729886906920328586451255211931791933202431549708105876909148597772135818018017335925583460247322685520180653743763490459506393854005471084544.000000    0.579356   -57029612894765014680608809826955232176248015397293619259597026757230409867650956359658062348782414002513479093803439597039483970611721361810259968.000000
