Temperature,  F    <E>     <E^2>    Cv    entropy
============================================
0.162975   -20.437086   -64847658488988156262496919617513958637870450210783625216.000000    1456275657824476022374738874736632230089380357432477220864.000000    0.576168   -397899227838929501887986226563901450881276489109140930560.000000
0.174753   -20.291398   -6015042441543221360797897402411952922373725175676928.000000    135038886196236043831961631912380460564699598993489920.000000    0.583123   -34420284337257048635530717098072144896514805953724416.000000
0.187382   -20.135550   -1045221610965774551478246699104991620878829617152.000000    23457865493660325707408002497241908136597210005504.000000    0.591250   -5578033435732687125269228061631925792011550982144.000000
0.200923   -19.969197   -326741211054746983617315558673934579084034048.000000    7330458243862371642094100247228175089060020224.000000    0.600657   -1626198708933933210164964803494615034816888832.000000
0.215443   -19.791537   -176538876141336402361356509880030622384128.000000    3959132331443126866026918144594358537551872.000000    0.611568   -819420872404884591507840391020686153351168.000000
0.231013   -19.601415   -158624233207239108387299169842023628800.000000    3555888785918069357049212068352111935488.000000    0.623998   -686646438973700844424097308914846007296.000000
0.247708   -19.398816   -229827405773439287521151699545751552.000000    5149685430930746013612987378707726336.000000    0.638688   -927817187122037679983478367827525632.000000
0.265609   -19.181460   -517069008332332592294249682173952.000000    11579991863920954775855354454474752.000000    0.656902   -1946731611554146260064850484920320.000000
0.284804   -18.949763   -1762779479566381309819162198016.000000    39456436994204792632061227696128.000000    0.676658   -6189456669301026116638882136064.000000
0.305386   -18.702791   -8854892798465798111731122176.000000    198077821784053018070748233728.000000    0.702104   -28995781884459724192582991872.000000
