Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.079433   -15.828135   -5840740277060116438188310298022370114559431625589884938783608696126138992963667049316352.000000    98514386288995566200575615730109193259304217401864431141304439151583166646784045657096192.000000    0.247567   0.107122     -73530566799215277032052669496651647519743446048714512250248404571801847884413778777866240.000000
0.086444   -15.728418   -176415312711860507753812884960532281320801320395426047989365575255341142365962240.000000    2975159784259099224865482197345567614200581212849357319216157773390528061137485824.000000    0.353258   0.142245     -2040805306742141586827315593559095468459001500818388142024732692488110363778220032.000000
0.094074   -15.628703   -23831342095947309392080371789626201882706896652509736259922431644916514816.000000    401834846785896347165406420245049632748849086639950380907020620590791786496.000000    0.455651   0.176652     -253325624106854864482005920562277011712764115535461753405107287586550841344.000000
0.102377   -15.516535   -11203019359286843618735751188171684836861241047093505053495641767936.000000    188839696184125559706795868805841949576946187998424481352141594689536.000000    0.632696   0.232080     -109428637172723037071820089971416069188751363607798952815853528154112.000000
0.111414   -15.402371   -18432949792541112240812837311959040407143216936441513972334592.000000    310636889243907104942730526367414623901110741102019685692473344.000000    0.681102   0.264381     -165445914822371070943456462910599856369732851680761857351614464.000000
0.121248   -15.274003   -86305643775090862203244988567571563426945416928144916480.000000    1453703504876151918594905195115368372389991177428859355136.000000    0.845501   0.337825     -711812685050660710593085436707302987718343638475991941120.000000
0.131950   -15.138948   -1132398484943910995489173219445110784273631091359744.000000    19063827846481359636285650788969655330286374454558720.000000    0.944936   0.367854     -8582051233822347999954402832913740089545777890721792.000000
0.143596   -14.988607   -36107767810326867506321867904357742513764696064.000000    607380928280873785306919804259946348609791852544.000000    1.098054   0.476945     -251453557642426104571940029815608995100521136128.000000
0.156271   -14.824956   -2665696892910550729157732721724803008954368.000000    44811081064295826583684808410425266119114752.000000    1.148478   0.594499     -17058200244259054501904257968095794883985408.000000
0.170064   -14.656199   -449621707161786016590780628445096312832.000000    7551342947553911439546228733037646970880.000000    1.238963   0.634127     -2643839176969458233900967815018513956864.000000
0.185075   -14.465456   -147618427806061689718647775238815744.000000    2476539545926126063375993682943541248.000000    1.342021   0.690015     -797615598927572716656717167115370496.000000
0.201410   -14.273810   -100504977009428599525629166092288.000000    1683876265803640097423103635750912.000000    1.452499   0.701443     -499006192779376024606815824117760.000000
0.219188   -14.054788   -117852325820597230141857333248.000000    1971986361440396403650278195200.000000    1.569679   0.894298     -537677470876211202762175676416.000000
0.238534   -13.820473   -242848278710832328538587136.000000    4056832648204761216862650368.000000    1.758844   0.881415     -1018084933287740954596343808.000000
0.259589   -13.558352   -802544528783749538643968.000000    13362623978511030946889728.000000    2.041382   1.002286     -3091600876493396993114112.000000
0.282501   -13.267171   -4126536020660246806528.000000    68486413447176482979840.000000    2.402771   1.162272     -14607141485276267806720.000000
