Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.079433   -15.828438   -5863453899473410882393215364383961421195985289566342218048401090268642927766327307272192.000000    98903609625316559471329006873235529604265053711554763832208581238343246364012658833752064.000000    0.256310   0.491683     -73816514376215486137920749701929370053160176901579879430402726237767698953370620043198464.000000
0.086444   -15.710306   -143063992541597880797213211422298303949940502022099989445909470833155362412036096.000000    2412635406654583626470062200933787358786428516881699369422790147422283320514314240.000000    0.454381   0.639514     -1654991002167024812214007174669653865956010366208330216179085732346465015767760896.000000
0.094074   -15.627485   -23525080278703175556955392835702004150592485633635830328771295271356203008.000000    396678876416144064879018694176139728183338478508630163727614405056638484480.000000    0.486436   0.509373     -250070080810925094440327518153668679111396143518870186167870872006084788224.000000
0.102377   -15.516945   -11249403270200085063532748909707207295200203579424101274034234195968.000000    189645060065342882782194046536958157714394318711066470170817147699200.000000    0.574521   0.562942     -109881705046230668469219244152505322373923201361211943961823578947584.000000
0.111414   -15.400271   -18087826234039700812290214519699471167204347622180065340555264.000000    304803529694334184524926687646701850299314763978276685809188864.000000    0.741051   0.546484     -162348240087417728151582814774244067810599622261378456450236416.000000
0.121248   -15.283091   -93032316597902826010309585529621422020073417143310352384.000000    1567158377835920493958114985196969867994162182443889590272.000000    0.810594   0.550242     -767291456009611852538596066925731956414689284537045745664.000000
0.131950   -15.138994   -1132984070642268027847853517316546054078273637318656.000000    19076828873620452259566027776361922777364531385466880.000000    0.891502   0.620151     -8586489182593837824779336033267766627465649058742272.000000
0.143596   -14.989514   -36336951007954905376600398645509216840779300864.000000    611241730374286789667932485942958643011601301504.000000    1.102009   0.653480     -253049583480914946211204448944494264411813314560.000000
0.156271   -14.837589   -2891208326635361619853814526794380810911744.000000    48619550255625137481870798617299610863927296.000000    1.057153   0.660081     -18501282240594960313629887837285125420220416.000000
0.170064   -14.656024   -449041820701465583888037857068593446912.000000    7539702441286421120413164032228704911360.000000    1.289252   0.725625     -2640429362635388375035506223240934588416.000000
0.185075   -14.468901   -150429660251879252776001581042630656.000000    2524327602319337980616551850548658176.000000    1.308464   0.777907     -812805320728032975017587592814133248.000000
0.201410   -14.272145   -99665089949079039425887174918144.000000    1669603869268276083968454179160064.000000    1.461096   0.886912     -494836162032437202335747922722816.000000
0.219188   -14.025666   -103071115990236341066631479296.000000    1722725050115347909654557491200.000000    1.730521   1.086959     -470241181751316956814099087360.000000
0.238534   -13.816254   -238488089400087296436338688.000000    3982283525771726416630513664.000000    1.763799   0.964484     -999805853579552024608899072.000000
0.259589   -13.560651   -810333606565132044861440.000000    13503078078922065887363072.000000    2.025303   1.097553     -3121606338909907990872064.000000
