Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -11.120534   -21089057973214275361472369622517498772253547701932483932456630062523266999819872444753390420643353255451533468621030162779598500183140250588500386602300190220426170137603383020181720315264499712.000000    239225498654184177356400718380364539033742969160604510683843987146947230254425120244674869002402136033647838694141594351485330141822150572070896027708945849121035921328649027263294864742951157760.000000    0.275443   0.161050     -839570519935467450813057073395700234505253177462125896708836049441950955809694942613861534189197212190685683230335488569175239911897510561700177750332518202952629305179628791609430743088285876224.000000
0.027465   -11.097485   -344391244665313624964184480475122681090561706709284398924933237950441107716640949754826468136500941009221141631994609368960852873516770936328337402193983094297105515769097093120.000000    3906426993382517656574219178613551952587222839128501965918979594258767024964885783728230957003832846903084746212852112332369094607395204944371906514742627040406599418243629187072.000000    0.234056   0.144880     -12539395248892309593952160140877160053865168204229828772860661115112624958674143401946025516509935561565070322850445850560959092635000087926138414134861918949118745505500154036224.000000
0.030030   -11.075893   -172223659935075541236334723851722156255353798617514452284274717318366345361425204364781346825270025838245456304578847587148526769086450967956689713099573355872256.000000    1953436069457014445181320120308447210249557759074527141135551162215940173239612412244130128102890106380235253054659686849148637246117510081526546477679820998180864.000000    0.198592   0.116013     -5735110550307627444670475193761974636717791685652659525752797641020888435463713687817709533390662294969718722945890600980104858759621806668569528901662572617400320.000000
0.032834   -11.051552   -1707519099837485497225256563938325827154491571827138730486875481162696199340187688440827644780680646250457617243259281789159629147961131967405096960.000000    19366552363416111433947072236112212968878842603828752837799745501392611486835681467640176434244114051255116104894871378695967940650680454271616417792.000000    0.168488   0.096802     -52004274219504228607414342313033022389478421271900891689960278232626849747593693691950652850677272536036701838259037099320294603098075724348863283200.000000
0.035901   -11.022091   -245644750175931335894371588376367184634181741871338157003775334937963795703028385428817851190211293053665111787609420732667518762614784.000000    2785967678540020378489983983606670427930247396751077756970065578915813598220858421085211269109382069185301048601215463849717586399854592.000000    0.143004   0.088327     -6842352532240644699467628279658930994817510963455903229126816851644572540842154693779673598343306517788722102794196324215313064565669888.000000
0.039253   -10.994179   -492873794483972261055932308601878956051856637045418864573504497918332539545063587717099212260908371925993538636341563097088.000000    5589685517455196345619346898697655832574071501909704733654936226643343183266569021496217822428304231008674872998778716028928.000000    0.121402   0.072533     -12556198616041335876466519929980966833419372358867325891117264986458398626406287712268461822496332029648294879896421340807168.000000
0.042919   -10.961312   -9343868973680338589089711794528333699529627340741469136216304946187655526972342932658799892789109076735693946880.000000    105965057216783124230797448462169384034525947483796163329108642053492493585848275648581812503940309200707459743744.000000    0.103529   0.063887     -217707644324444067025650522539143251409312483539417212684611717356362579574378252061517153237191230333907785220096.000000
0.046928   -10.928451   -1558172170628865340258430154977167532677012499443363462510898997397003283054680683951221274811859730432.000000    17670004135541908747537376919931738433741412995968584175355535926137455779314893753789038417500377710592.000000    0.089150   0.053139     -33203729873960908645778352091179643746838885991625121145183877452795004258214654600675839898945643872256.000000
0.051310   -10.886777   -1589490683724249421834097930408870683340369739115347129835385337980457683313898137149455204352.000000    18024581499546628424105549474181557480061730313239249563733775435883281190219140112870753173504.000000    0.079100   0.050463     -30978037784729963602038210248585203445655584157930021480458855692577275274586287592885746401280.000000
0.056102   -10.844824   -10135650546886735280476794230346198994293446887895024483713797931573017837937904058368.000000    114933094629810062625702080862634035697175850823565558114778633192963929719758093549568.000000    0.073324   0.045312     -180664172777322077932318648527309778435591849827248151656208066641150144512521855303680.000000
0.061342   -10.799085   -324630485086311824890891684230237861799781606611710991535626038727324939059200.000000    3681020250742613026248502893007957851497463629062033355919423564251459749937152.000000    0.074511   0.041915     -5292175021976948761887089875057862171536012688418900806080408116453067353751552.000000
0.067070   -10.750182   -46155324122222040804229957750469925387905854611792528817592923225849856.000000    523341015779469289231361909843923073904713969210065400557217960719024128.000000    0.081153   0.039976     -688162800943759990975452780912151250259502500139628557049458385047519232.000000
0.073334   -10.690749   -23258492746634382163953766962413628302899560338255021521196023808.000000    263706689304012666490210750852720235641429759811637248443237269504.000000    0.107422   0.044531     -317157835046775284035132621458722125365788293920014671775912689664.000000
0.080183   -10.634606   -45156279523085976958223529701634739282884422013252326653952.000000    511949595075493964908098718497804058999118385305122747973632.000000    0.142199   0.047440     -563166120310915366390587705684684316651440766385853508354048.000000
0.087671   -10.569467   -258300979157243700527276477672621329542718367943622656.000000    2928152308704575002952938475062441979406187548641329152.000000    0.186473   0.055606     -2946245346819495351806081648185052517483604860228075520.000000
0.095859   -10.502253   -4319765695045988571055166659479270461085923147776.000000    48962864375113191264468387640567140945576006254592.000000    0.246825   0.069263     -45063771714823980076240138724697795341418321936384.000000
0.104811   -10.418360   -167351922719589166731008836549811811628613632.000000    1896376525837305120709810904771904727777542144.000000    0.356002   0.091878     -1596697124252323146719102488341429043513524224.000000
0.114600   -10.315834   -14047997392384226560535172259378857246720.000000    159115452269070599777939761374762060742656.000000    0.519408   0.148135     -122583140776183166486151702098412899926016.000000
0.125302   -10.237865   -3451864389043794438669332163927736320.000000    39082133143461514360791932921519800320.000000    0.597125   0.174947     -27548283386712533856146172947415957504.000000
0.137004   -10.136407   -1532371764444013123886831340879872.000000    17341060450018604335654008210325504.000000    0.666933   0.237398     -11184831535039165367132376975540224.000000
0.149799   -10.014893   -1224707378635234788322226208768.000000    13842852818163080648382994186240.000000    0.891004   0.277274     -8175646974679662040213941649408.000000
0.163789   -9.902059   -2034047690457534455475077120.000000    22965791629055157237062828032.000000    0.992043   0.352164     -12418679440683439432904212480.000000
0.179086   -9.764350   -5385355790599925060861952.000000    60726790158943959340023808.000000    1.073465   0.405589     -30071367373291028427571200.000000
0.195811   -9.651144   -28655231544173782892544.000000    322846915748391420952576.000000    1.047778   0.443668     -146341393898930276663296.000000
0.214098   -9.507634   -217277115769499811840.000000    2443977494825983279104.000000    1.106671   0.496079     -1014849735177540730880.000000
0.234093   -9.319228   -2182550160048969216.000000    24485071305491648512.000000    1.247490   0.594493     -9323446401099431936.000000
0.255955   -9.148230   -37236305199356240.000000    416737604650804352.000000    1.328069   0.661647     -145480007891718752.000000
0.279859   -8.973389   -938909150791075.250000    10481188735357434.000000    1.401045   0.733703     -3354940298721553.500000
0.305995   -8.747772   -28890260810734.605469    320957748697507.000000    1.630342   0.829822     -94414169394705.984375
0.334572   -8.544296   -1364839722972.095703    15130857843675.181641    1.773476   0.832613     -4079358355147.873535
