Temperature,  F    <E>     <E^2>    Cv    Chi    entropy
============================================
0.025119   -11.120094   -20722936608184683241041887457101309440202876692638520031105319997912978814796195606015206441813272112659065939356249190268280110577099726106026875337967298310656354854508824990098018936918376448.000000    235072383664932608745236559276625079829183994756068991759763526823811385088402791419387361853849305840841859374985656590474361310197858182895386749012210615015994639475705903552078193170390712320.000000    0.275481   0.163669     -824994965864356472407635634374688372339967127257915549874400071452500430091543242190096413475301060142030436289738801341268941659809105216325310576023602130542845372752747859624071342433369063424.000000
0.027855   -11.095378   -1116069623336608749448913212915908538615510972480076038340654281424224439133035852645888138789800780042964315915789595590837480225574912214160356212231173567660082062205911040.000000    12659465937595545469164365144393326342805056025008932368798535087398656098068537056087062225377227731143360669314014705125676293173181608660164288097409614565155702947488727040.000000    0.227993   0.134068     -40067599924389204973538867026594933565996036483606512685626273177903392595280764975353076470127091332323342421535075707610793718342827276330953421154226099689777224379082473472.000000
0.030888   -11.068411   -4760573940717805557790073342894861199007853549308785780322418215816366583541944060602823753529037718160713874304014031829749718028280455060285553147448918016.000000    53995721144430297826293624206507354562042381774227242111430903582347205201101586877188520395141081120220988013116797438138859882124833499795188512842579968000.000000    0.188564   0.109618     -154121560125174823627413222111413404316305544064249570488969735348678026630201661145706698037706853439788450255372650950614942610410907052331592289011892224000.000000
0.034253   -11.041538   -1127424264370918677162571950020865677757462469623186634436610768645953181750170116436545694858605610876623554276194701123241498258893059391488.000000    12786899806806657559143413533719783013848696841308890699838936294119109950524391183426952788922583005822575628246163189370327776513321024356352.000000    0.155780   0.083359     -32914972751427685688801161002830845539913536461231777327298705368934825604122475539645599075400221727031939789269471936648331564807923200688128.000000
0.037983   -10.997635   -6309042067817143781516848768089052981232186715587877942678006681153986054149296073241693244850985741164436997603569808537812992.000000    71551923811032630347680961162219564116701646481783286268331162749413859860925657246039744307165486787000626797712432135892107264.000000    0.129115   0.093813     -166100747344484746998352268685353940906380030306379119648874506717477633492677030293503413125204952469451092559238697359337586688.000000
0.042120   -10.968843   -1421479327833138972935351256389012514994945623983706617654951412280982188848575382573855922233768238133895904624640.000000    16120544513313560327977115630637214768963824827682926780571073857278156061157327266727265830308355086446641285169152.000000    0.106880   0.065066     -33748210735897903194550554722936613834026174443532703439038022090517458895330394642112776710111352280150419687079936.000000
0.046708   -10.925977   -4425877767650136713524676173580533500793387635081122487917652452811967464500134865457626395431741161472.000000    50190487127223243514251181643194629565883757871729052532808649028457844790619112212356602224139204296704.000000    0.089955   0.058921     -94757078094435011410506315335013294772894971883801651591207089676831870542500829338569042478644005437440.000000
0.051795   -10.875988   -177348113862970067265348286900799558669206193404763813871999599298216706164749469736511733760.000000    2011093207449173628988465937032313580476903790327553062911237901048552268125728581133640138752.000000    0.079365   0.056603     -3424056006569578158627966732398860347876826807400350032656168642880252335716162845699450339328.000000
0.057436   -10.834293   -94779620520908432636560012542722588058530356235852269229357714242605611359118819328.000000    1074743815256026284009609532081853824008365826822677939215534190344044196916042399744.000000    0.071852   0.043289     -1650179896867066676407022846649345089265354139283892808833749508916662520310497542144.000000
0.063692   -10.783402   -383302366477622626488548210804199036655366530588534163954906884604768026624.000000    4346246490000456072788797516336715356609330811044906137135580350679162552320.000000    0.074943   0.038139     -6018106484788335111123110738338036154104427822799081208816854168759332503552.000000
0.070628   -10.711873   -8353856179668456798709510469792795467062569913721179442543077621760.000000    94718823539849258508831531989257014079139966559287552326888576778240.000000    0.097924   0.044757     -118278934156094306273845151544005816305718218446993412143093829861376.000000
0.078321   -10.641676   -1156947305829423762864687048465724128452294270546869718351872.000000    13116859027505623720548189490500072326170106092821877912240128.000000    0.136463   0.049502     -14771888744151734377490492539385942079250593899512744286093312.000000
