4g -11.929g 0g
5g -15.7188g 0g
6g -19.4727g 0g
7g -23.5902g 0g
8g -26.7497g 0g
9g -30.8074g 0g
10g -33.8246g 0g
  
11g -37.8326g 1g
12g -40.9877g 1g
13g -44.6331g 1g
14g -47.9137g 1g
15g -51.6931g 1g
  
16g -54.9603g 1g
15g -51.7358g 1g
14g -48.0698g 1g
13g -44.415g 1g
12g -41.0251g 1g
11g -37.5678g 1g
10g -33.9153g 1g
9g -30.4772g 1g
8g -26.7961g 1g
7g -23.5991g 1g
6g -19.6129g 1g
5g -16.0281g 1g
  
4g -12.0232g 1g
5g -15.9374g 1g
6g -19.6226g 1g
7g -23.4941g 1g
8g -26.7742g 1g
9g -30.4086g 1g
10g -33.7794g 1g
  
11g -37.556g 2g
12g -40.8754g 2g
13g -44.5364g 2g
14g -47.9662g 2g
15g -52.1648g 2g
  
16g -55.0531g 2g
15g -52.0144g 2g
14g -48.3097g 2g
13g -44.3622g 2g
12g -40.8814g 2g
11g -37.4681g 2g
10g -34.0157g 2g
9g -30.4394g 2g
8g -26.7806g 2g
7g -23.648g 2g
6g -19.4779g 2g
5g -16.2904g 2g
  
4g -12.0948g 2g
5g -15.8843g 2g
6g -19.3438g 2g
7g -23.4628g 2g
8g -26.6196g 2g
9g -30.6959g 2g
10g -33.9186g 2g
  
11g -37.4626g 3g
12g -40.8056g 3g
13g -44.8736g 3g
14g -48.1037g 3g
15g -52.2641g 3g
  
16g -55.1748g 3g
15g -51.8161g 3g
14g -48.206g 3g
13g -44.6588g 3g
12g -40.9624g 3g
11g -37.6004g 3g
10g -33.9675g 3g
9g -30.6069g 3g
8g -26.6071g 3g
7g -23.3724g 3g
6g -19.3513g 3g
5g -16.2685g 3g
  
4g -12.186g 3g
5g -15.8559g 3g
6g -19.4519g 3g
7g -23.2592g 3g
8g -26.6515g 3g
9g -30.5212g 3g
10g -33.9409g 3g
  
11g -37.7986g 4g
12g -41.1899g 4g
13g -44.4336g 4g
14g -48.2881g 4g
15g -51.6083g 4g
  
16g -55.292g 4g
15g -52.1993g 4g
14g -48.1745g 4g
13g -44.5272g 4g
12g -40.8154g 4g
11g -37.6601g 4g
10g -33.8714g 4g
9g -30.5073g 4g
8g -26.6688g 4g
7g -23.4949g 4g
6g -19.4724g 4g
5g -16.2826g 4g
  
4g -12.6444g 4g
5g -16.1945g 4g
6g -19.492g 4g
7g -23.444g 4g
8g -26.8194g 4g
9g -30.961g 4g
10g -33.7419g 4g
  
11g -37.6157g 5g
12g -40.8881g 5g
13g -44.3171g 5g
14g -47.9116g 5g
15g -51.3347g 5g
  
16g -55.1399g 5g
15g -51.3652g 5g
14g -47.8952g 5g
13g -44.729g 5g
12g -40.8135g 5g
11g -37.806g 5g
10g -33.6531g 5g
9g -30.5754g 5g
8g -26.7853g 5g
7g -23.5364g 5g
6g -19.5064g 5g
5g -16.1943g 5g
  
4g -12.581g 5g
5g -16.1862g 5g
6g -19.4289g 5g
7g -23.3191g 5g
8g -26.9342g 5g
9g -30.5796g 5g
10g -34.0452g 5g
  
11g -37.9854g 6g
12g -41.1097g 6g
13g -45.0105g 6g
14g -47.9889g 6g
15g -52.0572g 6g
  
16g -55.2659g 6g
15g -52.2613g 6g
14g -48.055g 6g
13g -44.67g 6g
12g -41.001g 6g
11g -37.8747g 6g
10g -34.0732g 6g
9g -30.6413g 6g
8g -26.9216g 6g
7g -23.423g 6g
6g -19.5379g 6g
5g -16.0732g 6g
  
4g -12.1306g 6g
5g -15.7039g 6g
6g -19.4838g 6g
7g -23.5135g 6g
8g -26.7626g 6g
9g -30.3702g 6g
10g -33.9141g 6g
  
11g -37.7704g 6g
12g -40.8821g 6g
13g -44.3917g 6g
14g -48.0092g 6g
15g -52.1118g 6g
