3g -6.69787g 0g
4g -10.8759g 0g
5g -15.9212g 0g
6g -21.8189g 0g
7g -28.5671g 0g
8g -36.1657g 0g
9g -44.6147g 0g
10g -53.914g 0g
11g -64.0637g 0g
12g -75.0637g 0g
13g -86.9142g 0g
14g -99.615g 0g
15g -113.166g 0g
  
16g -113.591g 1g
17g -114.867g 1g
18g -116.993g 1g
19g -119.969g 1g
20g -123.796g 1g
21g -128.473g 1g
22g -134g 1g
23g -140.378g 1g
24g -147.606g 1g
25g -155.685g 1g
26g -164.615g 1g
  
27g -174.403g 1g
26g -164.614g 1g
25g -155.684g 1g
24g -147.606g 1g
23g -140.378g 1g
22g -134g 1g
21g -128.472g 1g
20g -123.795g 1g
19g -119.969g 1g
18g -116.992g 1g
17g -114.866g 1g
16g -113.591g 1g
15g -113.165g 1g
14g -113.59g 1g
13g -114.866g 1g
12g -116.992g 1g
11g -119.968g 1g
10g -123.795g 1g
9g -128.472g 1g
8g -133.999g 1g
7g -140.377g 1g
6g -147.605g 1g
5g -155.683g 1g
4g -164.613g 1g
  
3g -174.402g 1g
4g -164.613g 1g
5g -155.683g 1g
6g -147.605g 1g
7g -140.376g 1g
8g -133.999g 1g
9g -128.471g 1g
10g -123.794g 1g
11g -119.968g 1g
12g -116.991g 1g
13g -114.865g 1g
14g -113.59g 1g
15g -113.165g 1g
  
16g -113.59g 2g
17g -114.865g 2g
18g -116.991g 2g
19g -119.968g 2g
20g -123.794g 2g
21g -128.471g 2g
22g -133.999g 2g
23g -140.376g 2g
24g -147.605g 2g
25g -155.683g 2g
26g -164.613g 2g
  
27g -174.402g 2g
26g -164.613g 2g
25g -155.683g 2g
24g -147.605g 2g
23g -140.376g 2g
22g -133.999g 2g
21g -128.471g 2g
20g -123.794g 2g
19g -119.968g 2g
18g -116.991g 2g
17g -114.865g 2g
16g -113.59g 2g
15g -113.165g 2g
14g -113.59g 2g
13g -114.865g 2g
12g -116.991g 2g
11g -119.968g 2g
10g -123.794g 2g
9g -128.471g 2g
8g -133.999g 2g
7g -140.376g 2g
6g -147.605g 2g
5g -155.683g 2g
4g -164.613g 2g
  
3g -174.402g 2g
4g -164.613g 2g
5g -155.683g 2g
6g -147.605g 2g
7g -140.376g 2g
8g -133.999g 2g
9g -128.471g 2g
10g -123.794g 2g
11g -119.968g 2g
12g -116.991g 2g
13g -114.865g 2g
14g -113.59g 2g
15g -113.165g 2g
  
16g -113.59g 3g
17g -114.865g 3g
18g -116.991g 3g
19g -119.968g 3g
20g -123.794g 3g
21g -128.471g 3g
22g -133.999g 3g
23g -140.376g 3g
24g -147.605g 3g
25g -155.683g 3g
26g -164.613g 3g
  
27g -174.402g 3g
26g -164.613g 3g
25g -155.683g 3g
24g -147.605g 3g
23g -140.376g 3g
22g -133.999g 3g
21g -128.471g 3g
20g -123.794g 3g
19g -119.968g 3g
18g -116.991g 3g
17g -114.865g 3g
16g -113.59g 3g
15g -113.165g 3g
14g -113.59g 3g
13g -114.865g 3g
12g -116.991g 3g
11g -119.968g 3g
10g -123.794g 3g
9g -128.471g 3g
8g -133.999g 3g
7g -140.376g 3g
6g -147.605g 3g
5g -155.683g 3g
4g -164.613g 3g
  
3g -174.402g 3g
4g -164.613g 3g
5g -155.683g 3g
6g -147.605g 3g
7g -140.376g 3g
8g -133.999g 3g
9g -128.471g 3g
10g -123.794g 3g
11g -119.968g 3g
12g -116.991g 3g
13g -114.865g 3g
14g -113.59g 3g
15g -113.165g 3g
  
16g -113.59g 4g
17g -114.865g 4g
18g -116.991g 4g
19g -119.968g 4g
20g -123.794g 4g
21g -128.471g 4g
22g -133.999g 4g
23g -140.376g 4g
24g -147.605g 4g
25g -155.683g 4g
26g -164.613g 4g
  
27g -174.402g 4g
26g -164.613g 4g
25g -155.683g 4g
24g -147.605g 4g
23g -140.376g 4g
22g -133.999g 4g
21g -128.471g 4g
20g -123.794g 4g
19g -119.968g 4g
18g -116.991g 4g
17g -114.865g 4g
16g -113.59g 4g
15g -113.165g 4g
14g -113.59g 4g
13g -114.865g 4g
12g -116.991g 4g
11g -119.968g 4g
10g -123.794g 4g
9g -128.471g 4g
8g -133.999g 4g
7g -140.376g 4g
6g -147.605g 4g
5g -155.683g 4g
4g -164.613g 4g
  
3g -174.402g 4g
4g -164.613g 4g
5g -155.683g 4g
6g -147.605g 4g
7g -140.376g 4g
8g -133.999g 4g
9g -128.471g 4g
10g -123.794g 4g
11g -119.968g 4g
12g -116.991g 4g
13g -114.865g 4g
14g -113.59g 4g
15g -113.165g 4g
  
16g -113.59g 5g
17g -114.865g 5g
18g -116.991g 5g
19g -119.968g 5g
20g -123.794g 5g
21g -128.471g 5g
22g -133.999g 5g
23g -140.376g 5g
24g -147.605g 5g
25g -155.683g 5g
26g -164.613g 5g
  
27g -174.402g 5g
26g -164.613g 5g
25g -155.683g 5g
24g -147.605g 5g
23g -140.376g 5g
22g -133.999g 5g
21g -128.471g 5g
20g -123.794g 5g
19g -119.968g 5g
18g -116.991g 5g
17g -114.865g 5g
16g -113.59g 5g
15g -113.165g 5g
14g -113.59g 5g
13g -114.865g 5g
12g -116.991g 5g
11g -119.968g 5g
10g -123.794g 5g
9g -128.471g 5g
8g -133.999g 5g
7g -140.376g 5g
6g -147.605g 5g
5g -155.683g 5g
4g -164.613g 5g
  
3g -174.402g 5g
4g -164.613g 5g
5g -155.683g 5g
6g -147.605g 5g
7g -140.376g 5g
8g -133.999g 5g
9g -128.471g 5g
10g -123.794g 5g
11g -119.968g 5g
12g -116.991g 5g
13g -114.865g 5g
14g -113.59g 5g
15g -113.165g 5g
  
16g -113.59g 6g
17g -114.865g 6g
18g -116.991g 6g
19g -119.968g 6g
20g -123.794g 6g
21g -128.471g 6g
22g -133.999g 6g
23g -140.376g 6g
24g -147.605g 6g
25g -155.683g 6g
26g -164.613g 6g
  
27g -174.402g 6g
26g -164.613g 6g
25g -155.683g 6g
24g -147.605g 6g
23g -140.376g 6g
22g -133.999g 6g
21g -128.471g 6g
20g -123.794g 6g
19g -119.968g 6g
18g -116.991g 6g
17g -114.865g 6g
16g -113.59g 6g
15g -113.165g 6g
14g -113.59g 6g
13g -114.865g 6g
12g -116.991g 6g
11g -119.968g 6g
10g -123.794g 6g
9g -128.471g 6g
8g -133.999g 6g
7g -140.376g 6g
6g -147.605g 6g
5g -155.683g 6g
4g -164.613g 6g
  
3g -174.402g 6g
4g -164.613g 6g
5g -155.683g 6g
6g -147.605g 6g
7g -140.376g 6g
8g -133.999g 6g
9g -128.471g 6g
10g -123.794g 6g
11g -119.968g 6g
12g -116.991g 6g
13g -114.865g 6g
14g -113.59g 6g
15g -113.165g 6g
  
16g -113.59g 7g
17g -114.865g 7g
18g -116.991g 7g
19g -119.968g 7g
20g -123.794g 7g
21g -128.471g 7g
22g -133.999g 7g
23g -140.376g 7g
24g -147.605g 7g
25g -155.683g 7g
26g -164.613g 7g
  
27g -174.402g 7g
26g -164.613g 7g
25g -155.683g 7g
24g -147.605g 7g
23g -140.376g 7g
22g -133.999g 7g
21g -128.471g 7g
20g -123.794g 7g
19g -119.968g 7g
18g -116.991g 7g
17g -114.865g 7g
16g -113.59g 7g
15g -113.165g 7g
14g -113.59g 7g
13g -114.865g 7g
12g -116.991g 7g
11g -119.968g 7g
10g -123.794g 7g
9g -128.471g 7g
8g -133.999g 7g
7g -140.376g 7g
6g -147.605g 7g
5g -155.683g 7g
4g -164.613g 7g
  
3g -174.402g 7g
4g -164.613g 7g
5g -155.683g 7g
6g -147.605g 7g
7g -140.376g 7g
8g -133.999g 7g
9g -128.471g 7g
10g -123.794g 7g
11g -119.968g 7g
12g -116.991g 7g
13g -114.865g 7g
14g -113.59g 7g
15g -113.165g 7g
  
16g -113.59g 8g
17g -114.865g 8g
18g -116.991g 8g
19g -119.968g 8g
20g -123.794g 8g
21g -128.471g 8g
22g -133.999g 8g
23g -140.376g 8g
24g -147.605g 8g
25g -155.683g 8g
26g -164.613g 8g
  
27g -174.402g 8g
26g -164.613g 8g
25g -155.683g 8g
24g -147.605g 8g
23g -140.376g 8g
22g -133.999g 8g
21g -128.471g 8g
20g -123.794g 8g
19g -119.968g 8g
18g -116.991g 8g
17g -114.865g 8g
16g -113.59g 8g
15g -113.165g 8g
14g -113.59g 8g
13g -114.865g 8g
12g -116.991g 8g
11g -119.968g 8g
10g -123.794g 8g
9g -128.471g 8g
8g -133.999g 8g
7g -140.376g 8g
6g -147.605g 8g
5g -155.683g 8g
4g -164.613g 8g
  
3g -174.402g 8g
4g -164.613g 8g
5g -155.683g 8g
6g -147.605g 8g
7g -140.376g 8g
8g -133.999g 8g
9g -128.471g 8g
10g -123.794g 8g
11g -119.968g 8g
12g -116.991g 8g
13g -114.865g 8g
14g -113.59g 8g
15g -113.165g 8g
  
16g -113.59g 9g
17g -114.865g 9g
18g -116.991g 9g
19g -119.968g 9g
20g -123.794g 9g
21g -128.471g 9g
22g -133.999g 9g
23g -140.376g 9g
24g -147.605g 9g
25g -155.683g 9g
26g -164.613g 9g
  
27g -174.402g 9g
26g -164.613g 9g
25g -155.683g 9g
24g -147.605g 9g
23g -140.376g 9g
22g -133.999g 9g
21g -128.471g 9g
20g -123.794g 9g
19g -119.968g 9g
18g -116.991g 9g
17g -114.865g 9g
16g -113.59g 9g
15g -113.165g 9g
14g -113.59g 9g
13g -114.865g 9g
12g -116.991g 9g
